"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,0,0,1,2,0.464,0.4779,0.691587,0.250672,0.781998,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,29,30,26,26,-0.067,-0.3511,0.912783,0.791253,0.367582,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,3,3,3,3,0.051,0.0854,1,0.63777,0.716045,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10015",205,5,6,8,6,0.316,0.7746,0.198852,0.058311,0.747199,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"5","m.1002",498,0,1,2,1,0.516,0.516,0.615584,0.215537,0.779693,"3270652","Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1                     "
"6","m.10038",212,3,4,1,3,-0.575,-0.8744,0.107145,0.743719,0.026387,"P86854","Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1                      "
"7","m.1005",498,12,13,16,11,0.137,0.4888,0.66996,0.240333,0.781457,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"8","m.10055",770,0,1,1,1,0.066,0.059,1,0.655535,0.704895,"Q91437","CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1                     "
"9","m.10061",510,4,2,3,5,0.343,0.628,0.404071,0.130045,0.767735,"Q64459","Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1                    "
"10","m.1007",159,2,1,1,1,-0.498,-0.5024,0.655199,0.791993,0.214114,"P20965","Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3                    "
"11","m.10080",526,17,14,15,15,0.033,0.123,1,0.609898,0.73017,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
"12","m.10093",673,1,1,1,1,0.034,0.0298,1,0.673525,0.691274,"B0FYY4","Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1                     "
"13","m.10110",697,0,1,0,0,-0.021,-0.0193,1,0.700095,0.665048,"O11780","Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1                  "
"14","m.10111",222,0,2,0,2,0.006,0.0066,0.999886,0.686632,0.679424,"3660641","Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     "
"15","m.1013",969,1,3,0,1,-0.764,-0.8034,0.167161,0.75377,0.04279,"A7RU46","Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1                   "
"16","m.10132",182,1,2,2,2,0.38,0.4812,0.685058,0.247518,0.781845,"Q6NZW8","ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1                   "
"17","m.10135",467,4,4,3,4,-0.086,-0.161,1,0.755074,0.56255,"Q9YI37","Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1                           "
"18","m.10138",474,2,1,2,2,0.308,0.3864,0.856771,0.344808,0.782114,"O77775","Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   "
"19","m.10139",271,0,1,1,0,-0.005,-0.0045,1,0.692549,0.673415,"Q8R1W8","Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1                   "
"20","m.10146",361,2,1,1,3,0.358,0.4449,0.755438,0.283249,0.782996,"O43639","Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2                    "
"21","m.10183",616,1,0,0,0,0.047,0.0425,1,0.66591,0.697371,"P60670","Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3                 "
"22","m.10194",572,19,16,19,20,0.175,0.7404,0.238386,0.07134,0.752061,"P15178","Aspartate--tRNA ligase cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1                           "
"23","m.10199",219,7,9,7,8,0,-8e-04,0.999964,0.690601,0.675443,"Q05975","Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1                    "
"24","m.1020",1917,0,0,1,1,0.065,0.0593,1,0.655342,0.705028,"Q6ZQ08","CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2                  "
"25","m.10205",893,0,1,1,0,0.076,0.0705,1,0.647976,0.709883,"O88664","Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1                    "
"26","m.10239",279,1,2,2,1,0.038,0.0437,1,0.665174,0.697933,"P31483","Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3                   "
"27","m.10254",141,2,2,0,0,-0.793,-0.8435,0.130734,0.74801,0.032725,NA,NA
"28","m.10260",232,0,1,1,1,0.007,0.006,0.999886,0.686958,0.679105,"3665646","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1                    "
"29","m.10264",203,0,1,0,1,-0.016,-0.0142,1,0.697538,0.667978,"Q2QXC6","Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1                 "
"30","m.1027",157,1,2,2,2,0.363,0.4464,0.75261,0.281729,0.782972,"3289105","Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1                     "
"31","m.10304",278,4,4,3,4,-0.069,-0.1326,1,0.746273,0.586492,"Q96RW7","Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2                      "
"32","m.10324",680,4,4,3,4,-0.085,-0.1629,1,0.755628,0.560886,"Q04446","14-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3                           "
"33","m.10327",1122,2,2,2,2,0.045,0.0597,1,0.655083,0.705204,"Q1LZA7","LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1                   "
"34","m.10342",512,1,0,1,1,0.079,0.0707,1,0.647842,0.709968,"P08183","Multidrug resistance protein 1 OS=Homo sapiens GN=ABCB1 PE=1 SV=3                   "
