"","Protein","Len","S0","S0.1","S1","S1.1","S1.2","S1.3","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,0,0,0,1,1,0,-7.495,-14.6673,0.049532,0.170596,0,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,29,30,22,30,34,31,-6.157,-67.4236,1.2e-05,0,2e-06,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,3,3,2,6,3,3,-7.308,-25.6813,0.019593,0,0.011119,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10015",205,5,6,4,8,6,8,-6.275,-30.2585,0.017423,0,0.008525,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"5","m.1002",498,0,1,0,1,1,2,-9.601,-20.5453,0,0,0,"3270652","Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1                     "
"6","m.10038",212,3,4,0,1,2,4,-9.412,-26.7285,0.018997,0,0.010564,"P86854","Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1                      "
"7","m.1005",498,12,13,7,11,17,15,-6.209,-45.921,0.004249,0,0.000969,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"8","m.10055",770,0,1,0,0,2,2,-10.194,-25.1383,0.015038,0,0.011332,"Q91437","CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1                     "
"9","m.10061",510,4,2,0,3,5,6,-7.571,-27.7311,0.021832,0,0.009937,"Q64459","Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1                    "
"10","m.1007",159,2,1,1,2,2,1,-5.541,-13.4844,0.268464,0.38647,0,"P20965","Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3                    "
"11","m.10080",526,17,14,11,15,15,15,-8.203,-60.5421,7.2e-05,0,2.2e-05,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
"12","m.10093",673,1,1,0,2,4,2,-9.465,-28.067,0.017766,0,0.009734,"B0FYY4","Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1                     "
"13","m.10110",697,0,1,0,1,0,0,-11.03,-22.4975,0.010515,0,0.011942,"O11780","Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1                  "
"14","m.10111",222,0,2,0,1,2,2,-7.965,-19.4928,0.01059,0.025555,0,"3660641","Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     "
"15","m.1013",969,1,3,0,1,1,1,-10.51,-21.3106,0.009473,0,0.011855,"A7RU46","Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1                   "
"16","m.10132",182,1,2,0,1,2,2,-7.616,-18.1619,0.01278,0.036356,0,"Q6NZW8","ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1                   "
"17","m.10135",467,4,4,2,6,5,5,-7.149,-29.1139,0.017,0,0.009154,"Q9YI37","Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1                           "
"18","m.10138",474,2,1,3,2,3,3,-9.331,-29.4901,0.014788,0,0.00896,"O77775","Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   "
"19","m.10139",271,0,1,0,0,1,1,-9.397,-18.1372,0.013024,0.036651,0,"Q8R1W8","Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1                   "
"20","m.10146",361,2,1,1,0,2,1,-9.189,-19.6193,0.010153,0.024889,0,"O43639","Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2                    "
"21","m.10164",157,0,0,0,1,0,1,-6.703,-12.5603,0.394933,0.698444,0,NA,NA
"22","m.10183",616,1,0,0,0,0,1,-10.829,-22.0972,0.011372,0,0.011896,"P60670","Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3                 "
"23","m.10194",572,19,16,16,17,21,25,-6.134,-55.844,0.000412,0,8.9e-05,"P15178","Aspartate--tRNA ligase cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1                           "
"24","m.10199",219,7,9,6,5,9,8,-8.097,-44.2459,0.004218,0,0.001348,"Q05975","Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1                    "
"25","m.1020",1917,0,0,0,1,1,1,-11.538,-24.2425,0.014802,0,0.011625,"Q6ZQ08","CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2                  "
"26","m.10205",893,0,1,0,0,0,1,-9.714,-19.3131,0.010902,0.026538,0,"O88664","Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1                    "
"27","m.10239",279,1,2,0,0,2,2,-9.799,-22.863,0.014851,0,0.011936,"P31483","Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3                   "
"28","m.10254",141,2,2,0,1,1,1,-9.712,-18.0967,0.013506,0.03713,0,NA,NA
"29","m.10260",232,0,1,1,0,1,0,-9.372,-16.8709,0.019092,0.057352,0,"3665646","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1                    "
"30","m.10264",203,0,1,0,1,2,1,-8.863,-19.2414,0.010902,0.02696,0,"Q2QXC6","Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1                 "
"31","m.1027",157,1,2,1,2,2,2,-7.922,-20.9638,0.009821,0,0.011777,"3289105","Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1                     "
"32","m.10289",705,0,0,0,1,0,1,-9.336,-18.6762,0.01198,0.031007,0,"P41541","General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1                  "
"33","m.10304",278,4,4,2,5,4,3,-9.387,-34.9032,0.014941,0,0.005515,"Q96RW7","Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2                      "
"34","m.10324",680,4,4,1,3,5,2,-9.644,-31.1092,0.019589,0,0.007962,"Q04446","14-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3                           "
"35","m.10327",1122,2,2,3,2,5,2,-9.402,-32.0833,0.019659,0,0.007306,"Q1LZA7","LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1                   "
"36","m.10342",512,1,0,0,0,1,0,-9.505,-18.9639,0.01113,0.028817,0,"P08183","Multidrug resistance protein 1 OS=Homo sapiens GN=ABCB1 PE=1 SV=3                   "
"37","m.10346",250,2,3,0,2,2,2,-8.977,-23.5412,0.014361,0,0.011778,"Q9NR16","Scavenger receptor cysteine-rich type 1 protein M160 OS=Homo sapiens GN=CD163L1 PE=1 SV=2                "
"38","m.1036",1192,1,1,0,3,6,2,-10.185,-35.3316,0.020559,0,0.005227,"O57683","Splicing factor 3B subunit 1 OS=Xenopus laevis GN=sf3b1 PE=2 SV=1                  "
"39","m.10360",636,1,2,1,2,3,2,-9.213,-24.7584,0.016567,0,0.011451,"A5D7E2","Transmembrane 9 superfamily member 4 OS=Bos taurus GN=TM9SF4 PE=2 SV=2                  "
"40","m.10378",725,2,3,1,1,4,2,-10.298,-28.4502,0.016729,0,0.009527,"Q03516","Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1               "
"41","m.1038",113,5,4,3,4,5,4,-6.705,-27.3968,0.022289,0,0.010167,"P51397","Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3                    "
"42","m.10387",484,6,6,5,5,7,8,-8.978,-47.6632,0.00272,0,0.000676,"Q8IV20","Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1                   "
"43","m.104",1674,66,65,21,31,83,70,-7.106,-101.9062,0,0,0,"Q68FD5","Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3                   "
"44","m.1041",396,5,6,3,6,5,3,-8.687,-35.2204,0.019929,0,0.005305,"Q0VFL3","KH domain-containing RNA-binding signal transduction-associated protein 2 OS=Xenopus tropicalis GN=khdrbs2 PE=2 SV=1                           "
"45","m.1042",331,3,4,3,2,4,2,-8.9,-30.2718,0.017511,0,0.008517,"Q9PTS2","Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1                     "
"46","m.1044",836,0,1,0,1,1,1,-9.534,-18.7872,0.011746,0.030134,0,"Q29M42","Coiled-coil and C2 domain-containing protein 1-like OS=Drosophila pseudoobscura pseudoobscura GN=GA18377 PE=3 SV=2                "
"47","m.10457",752,0,0,1,1,1,1,-10.283,-20.6717,0.009084,0,0.011715,"Q91372","Probable ATP-dependent RNA helicase DDX4 OS=Xenopus laevis GN=ddx4 PE=2 SV=1                  "
"48","m.10463",220,0,1,0,1,2,1,-9.192,-19.8588,0.009846,0.023689,0,"Q32NG4","Parkinson disease 7 domain-containing protein 1 OS=Xenopus laevis GN=pddc1 PE=2 SV=1                 "
"49","m.10468",320,8,10,5,8,11,10,-7.918,-43.9651,0.00499,0,0.001415,NA,NA
"50","m.10469",238,0,0,0,1,1,1,-10.231,-19.9397,0.009975,0.023326,0,"P61291","Proteasome activator complex subunit 3 OS=Sus scrofa GN=PSME3 PE=2 SV=1                  "
"51","m.10472",547,5,8,0,2,3,7,-10.034,-37.0925,0.010657,0,0.004192,"Q5D1D6","Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1                   "
"52","m.10484",222,1,1,0,2,2,2,-6.632,-17.059,0.01667,0.052605,0,"Q68EY7","Coiled-coil domain-containing protein 124-A OS=Xenopus laevis GN=ccdc124-a PE=2 SV=1                   "
"53","m.10496",298,9,12,7,8,8,8,-7.507,-42.5967,0.009845,0,0.001858,"Q5R5D5","Alcohol dehydrogenase [NADP(+)] OS=Pongo abelii GN=AKR1A1 PE=2 SV=1                    "
"54","m.10499",214,2,4,0,0,3,1,-9.142,-22.2397,0.010827,0,0.011906,"Q13825","Methylglutaconyl-CoA hydratase mitochondrial OS=Homo sapiens GN=AUH PE=1 SV=1                           "
"55","m.10517",796,1,1,0,1,1,3,-9.129,-22.1392,0.011208,0,0.011898,"3271430","Predicted protein OS=Nematostella vectensis GN=v1g241035 PE=4 SV=1                     "
"56","m.1054",285,8,10,5,6,8,7,-8.052,-40.8921,0.006706,0,0.002481,"Q2Q1W2","E3 ubiquitin-protein ligase TRIM71 OS=Homo sapiens GN=TRIM71 PE=1 SV=1                   "
"57","m.10558",176,1,3,2,3,3,2,-7.053,-22.3704,0.010433,0,0.011923,"3280410","Predicted protein OS=Nematostella vectensis GN=v1g246076 PE=4 SV=1                     "
"58","m.10560",427,9,11,2,6,9,9,-7.639,-39.9354,0.008738,0,0.002838,"Q55G75","PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1                   "
