"","Protein","Len","S0","S0.1","S1","S1.1","S1.2","S1.3","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,0,0,1,2,1,0,-8.582,-1.993,0.903141,0.968758,0.462508,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,29,30,26,26,27,14,-3.176,-1.9907,0.904227,0.968795,0.463742,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,3,3,3,3,2,1,-5.473,-1.1377,0.99482,0.971856,0.780673,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10015",205,5,6,8,6,6,4,-5.828,-1.7348,0.951407,0.971252,0.592457,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"5","m.1002",498,0,1,2,1,0,0,-5.925,-1.196,0.990261,0.972823,0.767974,"3270652","Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1                     "
"6","m.10038",212,3,4,1,3,1,0,-4.546,-1.4526,0.963298,0.973515,0.699267,"P86854","Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1                      "
"7","m.1005",498,12,13,16,11,15,5,-2.625,-0.9969,0.999904,0.968277,0.807239,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"8","m.10055",770,0,1,1,1,1,0,-5.453,-0.4988,1,0.941903,0.863281,"Q91437","CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1                     "
"9","m.10061",510,4,2,3,5,5,2,-5.374,-1.0366,0.999303,0.969448,0.800326,"Q64459","Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1                    "
"10","m.1007",159,2,1,1,1,1,1,-8.629,-1.7549,0.950943,0.971102,0.583311,"P20965","Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3                    "
"11","m.10080",526,17,14,15,15,17,16,-6.694,-3.79,0.020239,0.902165,0.004397,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
"12","m.10093",673,1,1,1,1,1,1,-6.352,-0.8376,0.998617,0.962524,0.830713,"B0FYY4","Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1                     "
"13","m.10110",697,0,1,0,0,0,0,-7.697,-2.1056,0.833504,0.966291,0.402277,"O11780","Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1                  "
"14","m.10111",222,0,2,0,2,2,0,-3.799,-0.9075,0.999577,0.965248,0.821217,"3660641","Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     "
"15","m.1013",969,1,3,0,1,0,0,-3.142,-0.5537,1,0.946436,0.859217,"A7RU46","Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1                   "
"16","m.10132",182,1,2,2,2,1,1,-3.083,-0.7824,0.99803,0.960127,0.837413,"Q6NZW8","ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1                   "
"17","m.10135",467,4,4,3,4,4,2,2.983,0.539,0.856012,0.645395,0.891503,"Q9YI37","Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1                           "
"18","m.10138",474,2,1,2,2,3,1,-5.396,-1.3319,0.975978,0.973832,0.734342,"O77775","Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   "
"19","m.10139",271,0,1,1,0,0,0,-0.854,-0.1588,0.999999,0.897013,0.880979,"Q8R1W8","Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1                   "
"20","m.10146",361,2,1,1,3,2,1,-8.667,-2.478,0.53648,0.94949,0.226468,"O43639","Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2                    "
"21","m.10164",157,0,0,0,0,1,0,-3.359,-0.7838,0.998045,0.960191,0.837251,NA,NA
"22","m.10183",616,1,0,0,0,1,0,-9.112,-1.3595,0.972895,0.973843,0.726782,"P60670","Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3                 "
"23","m.10194",572,19,16,19,20,19,9,-5.156,-2.2313,0.730505,0.961861,0.33774,"P15178","Aspartate--tRNA ligase cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1                           "
"24","m.10199",219,7,9,7,8,7,6,-5.611,-1.2455,0.985463,0.973388,0.756391,"Q05975","Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1                    "
"25","m.1020",1917,0,0,1,1,1,0,-7.568,-1.363,0.972498,0.97384,0.725805,"Q6ZQ08","CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2                  "
"26","m.10205",893,0,1,1,0,0,1,-2.235,-0.3929,1,0.931427,0.870054,"O88664","Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1                    "
"27","m.10239",279,1,2,2,1,2,0,-6.278,-1.2332,0.986725,0.97327,0.759339,"P31483","Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3                   "
"28","m.10254",141,2,2,0,0,0,0,-3.101,-0.6508,0.998753,0.953186,0.850984,NA,NA
"29","m.10260",232,0,1,1,1,0,0,-6.145,-1.4861,0.96042,0.973294,0.688542,"3665646","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1                    "
"30","m.10264",203,0,1,0,1,0,1,-1.147,-0.2885,1,0.918327,0.875538,"Q2QXC6","Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1                 "
"31","m.1027",157,1,2,2,2,2,1,-3.632,-0.5714,1,0.947785,0.857818,"3289105","Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1                     "
"32","m.10289",705,0,0,0,0,1,0,-2.866,-0.4008,1,0.932297,0.869594,"P41541","General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1                  "
"33","m.10304",278,4,4,3,4,3,5,-7.355,-1.8909,0.937418,0.970029,0.516523,"Q96RW7","Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2                      "
