"","Protein","Len","S0","S0.1","S1","S1.1","S1.2","S1.3","S1.4","S1.5","S1.6","S1.7","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,0,0,1,0,1,0,1,0,1,2,-7.944,-2.8159,0.945261,0.988907,0.653286,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,29,30,20,23,27,14,20,20,26,26,-1.386,-1.5942,1,0.96705,0.861913,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,3,3,3,4,2,1,3,5,3,3,-5.378,-1.8487,0.997727,0.98067,0.84791,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10015",205,5,6,5,6,6,4,4,4,8,6,-3.802,-2.3354,0.999491,0.990281,0.789056,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"5","m.1002",498,0,1,0,0,0,0,0,1,2,1,-5.596,-2.4275,1,0.991255,0.770218,"3270652","Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1                     "
"6","m.10038",212,3,4,0,0,1,0,0,0,1,3,-6.798,-2.9375,0.9074,0.984423,0.605125,"P86854","Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1                      "
"7","m.1005",498,12,13,8,10,15,5,9,9,16,11,-8.839,-2.822,0.943518,0.988725,0.650989,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"8","m.10055",770,0,1,0,0,1,0,0,0,1,1,-7.028,-2.361,0.999805,0.990566,0.784142,"Q91437","CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1                     "
"9","m.10061",510,4,2,1,6,5,2,3,2,3,5,-7.021,-2.3906,1,0.990884,0.778155,"Q64459","Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1                    "
"10","m.1007",159,2,1,0,0,1,1,0,0,1,1,-6.5,-3.0147,0.880858,0.980765,0.572026,"P20965","Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3                    "
"11","m.10080",526,17,14,15,15,17,16,15,15,15,15,-6.084,-4.6454,0.085183,0.899465,0.011505,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
"12","m.10093",673,1,1,0,1,1,1,2,1,1,1,-6.924,-2.5625,0.99427,0.99213,0.736452,"B0FYY4","Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1                     "
"13","m.10110",697,0,1,0,0,0,0,0,0,0,0,-7.923,-2.8489,0.9356,0.987867,0.64071,"O11780","Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1                  "
"14","m.10111",222,0,2,1,1,2,0,1,2,0,2,-7.119,-1.8863,0.998005,0.981877,0.845132,"3660641","Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     "
"15","m.1013",969,1,3,0,0,0,0,1,0,0,1,-7.837,-2.3797,0.999984,0.990769,0.780398,"A7RU46","Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1                   "
"16","m.10132",182,1,2,2,3,1,1,2,2,2,2,-5.979,-2.8109,0.946679,0.989052,0.655158,"Q6NZW8","ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1                   "
"17","m.10135",467,4,4,2,3,4,2,2,2,3,4,-7.298,-4.1981,0.22837,0.911993,0.066414,"Q9YI37","Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1                           "
"18","m.10138",474,2,1,2,2,3,1,1,1,2,2,-7.703,-3.9417,0.362021,0.925023,0.135817,"O77775","Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   "
