"","Protein","Len","S0","S0.1","S1","S1.1","S1.2","S1.3","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,0,0,1,0,1,0,-3.253,-0.3691,1,0.850745,0.931297,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,29,30,20,23,27,14,-6.105,-1.4053,0.978059,0.951607,0.638958,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,3,3,3,4,2,1,-10.228,-2.0494,0.469532,0.936176,0.155231,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10015",205,5,6,5,6,6,4,-0.688,-0.1267,0.999998,0.748902,0.940589,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"5","m.1002",498,0,1,0,0,0,0,-8.296,-1.4773,0.944346,0.951858,0.583811,"3270652","Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1                     "
"6","m.10038",212,3,4,0,0,1,0,2.37,0.3649,0.753352,0.363484,0.94013,"P86854","Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1                      "
"7","m.1005",498,12,13,8,10,15,5,1.758,0.3086,0.8043,0.411753,0.941343,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"8","m.10055",770,0,1,0,0,1,0,-6.625,-1.1411,1,0.945346,0.79342,"Q91437","CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1                     "
"9","m.10061",510,4,2,1,6,5,2,-3.911,-0.7121,0.999999,0.916397,0.901459,"Q64459","Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1                    "
"10","m.1007",159,2,1,0,0,1,1,-2.406,-0.3536,1,0.846037,0.932098,"P20965","Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3                    "
"11","m.10080",526,17,14,15,15,17,16,-1.231,-0.5443,1,0.891941,0.919457,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
"12","m.10093",673,1,1,0,1,1,1,-9.586,-1.4528,0.957365,0.951864,0.602987,"B0FYY4","Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1                     "
"13","m.10110",697,0,1,0,0,0,0,-7.245,-1.059,1,0.942085,0.824671,"O11780","Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1                  "
"14","m.10111",222,0,2,1,1,2,0,-3.272,-0.4082,1,0.861758,0.92912,"3660641","Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     "
"15","m.1013",969,1,3,0,0,0,0,-8.616,-1.1059,1,0.944038,0.807646,"A7RU46","Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1                   "
"16","m.10132",182,1,2,2,3,1,1,-5.537,-0.9128,1,0.934098,0.865892,"Q6NZW8","ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1                   "
"17","m.10135",467,4,4,2,3,4,2,-6.389,-0.9294,1,0.935174,0.861989,"Q9YI37","Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1                           "
"18","m.10138",474,2,1,2,2,3,1,-3.114,-0.431,1,0.867646,0.927739,"O77775","Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   "
"19","m.10139",271,0,1,0,0,0,0,-4.746,-0.5006,1,0.883468,0.922955,"Q8R1W8","Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1                   "
"20","m.10146",361,2,1,1,1,2,1,0.654,0.0599,0.958822,0.622342,0.943532,"O43639","Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2                    "
"21","m.10164",157,0,0,0,0,1,0,-3.918,-0.4744,1,0.87787,0.924862,NA,NA
"22","m.10183",616,1,0,1,0,1,0,-4.49,-0.6497,1,0.908597,0.909117,"P60670","Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3                 "
"23","m.10194",572,19,16,15,16,19,9,-2.54,-0.7195,1,0.917237,0.900462,"P15178","Aspartate--tRNA ligase cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1                           "
"24","m.10199",219,7,9,5,5,7,6,-2.538,-0.4886,1,0.880955,0.923845,"Q05975","Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1                    "
"25","m.1020",1917,0,0,0,0,1,0,-3.772,-0.5252,1,0.888365,0.921037,"Q6ZQ08","CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2                  "
"26","m.10205",893,0,1,0,0,0,1,-3.344,-0.5193,1,0.887221,0.921509,"O88664","Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1                    "
"27","m.10239",279,1,2,0,1,2,0,-7.165,-1.4198,0.972376,0.951723,0.628166,"P31483","Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3                   "
"28","m.10254",141,2,2,0,0,0,0,-1.193,-0.1658,1,0.770003,0.939489,NA,NA
"29","m.10260",232,0,1,0,0,0,0,-11.551,-1.6957,0.773672,0.948028,0.405418,"3665646","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1                    "
"30","m.10264",203,0,1,0,0,0,1,-3.011,-0.4237,1,0.865802,0.928191,"Q2QXC6","Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1                 "
"31","m.1027",157,1,2,3,3,2,1,-2.048,-0.2862,1,0.823053,0.935207,"3289105","Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1                     "
"32","m.10289",705,0,0,1,0,1,0,-6.881,-0.7314,1,0.918551,0.898816,"P41541","General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1                  "
