"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","Annotation","KOid","UniprotID"
"1","Pocillopora_acuta_HIv1_PredGene_10142_t",137,0,0,0,4,-9.377,-0.5161,0.996842,0.746506,0.778494,"cysteine and glycine-rich protein 1a ","K09377","Q6NZV4"
"2","Pocillopora_acuta_HIv1_PredGene_10367_t",210,3,2,1,2,-9.623,-0.7285,1,0.774067,0.71844,"nascent polypeptide-associated complex subunit alpha isoform 2 ","K03626","Q8JIU7"
"3","Pocillopora_acuta_HIv1_PredGene_10384_t",182,37,25,35,31,-0.742,-0.1987,0.997979,0.682774,0.835843,"ADP-ribosylation factor 1-like 2 ","K07937","Q10943"
"4","Pocillopora_acuta_HIv1_PredGene_10385_t",182,38,26,36,34,8.359,1.7346,0.178212,0.086724,0.777598,"ADP ribosylation factor at 79F, isoform F ","K07937","P61209"
"5","Pocillopora_acuta_HIv1_PredGene_10534_t",152,1,1,1,2,-2.877,-0.3679,0.998521,0.720743,0.809118,"60S ribosomal protein L35 ","K02918","Q6ZWV7"
"6","Pocillopora_acuta_HIv1_PredGene_10692_t",677,5,3,3,2,3.495,0.4907,0.717023,0.459198,0.855664,"acetyl-coenzyme A synthetase 2-like, mitochondrial ","K01895","F1QYS7"
"7","Pocillopora_acuta_HIv1_PredGene_10742_t",124,11,10,9,16,-15.451,-4.6291,4e-06,0.761346,0,"cofilin-like protein ","K05765","E9BKJ8"
"8","Pocillopora_acuta_HIv1_PredGene_10809_t",241,7,3,0,0,-20.182,-2.2015,0.262018,0.783959,0.093668,"splicing factor 1 isoform X10 ","K00405","D3YZD0"
"9","Pocillopora_acuta_HIv1_PredGene_10950_t",497,0,0,2,0,0.572,0.0545,0.944129,0.608979,0.86015,"alanine aminotransferase 2-like isoform X1 ","K00814","Q6NYL5"
"10","Pocillopora_acuta_HIv1_PredGene_11066_t",517,2,0,0,1,10.116,0.8137,0.557942,0.347333,0.831865,"uncharacterized protein LOC767682 ","K01255","Q08CQ0"
"11","Pocillopora_acuta_HIv1_PredGene_11087_t",577,5,5,6,6,4.155,0.6243,0.649795,0.412719,0.846539,"alpha-adducin isoform X8 ","K18622","A1A5X4"
"12","Pocillopora_acuta_HIv1_PredGene_11098_t",568,1,1,3,3,2.372,0.2766,0.836365,0.533817,0.864405,"shootin-1 isoform 1 ","","Q8C4F6"
"13","Pocillopora_acuta_HIv1_PredGene_11107_t",360,2,1,2,1,-7.226,-0.8978,1,0.789757,0.65402,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial precursor ","K18123","Q6NY77"
"14","Pocillopora_acuta_HIv1_PredGene_1120_t",246,3,1,1,2,-4.735,-0.5428,0.997358,0.750518,0.772099,"splicing factor 1 isoform X10 ","K02823","D3YZD0"
"15","Pocillopora_acuta_HIv1_PredGene_1126_t",379,2,1,4,3,-10.88,-1.0689,0.957272,0.800724,0.574137,"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial ","K00658","Q8CIE8"
"16","Pocillopora_acuta_HIv1_PredGene_11648_t",803,1,2,1,3,-14.611,-0.847,1,0.78555,0.675025,"striatin-3 isoform 1 ","K17608","Q3TNV4"
"17","Pocillopora_acuta_HIv1_PredGene_11681_t",589,3,2,2,3,5.236,0.4152,0.757953,0.485505,0.859832,"RNA-binding motif, single-stranded-interacting protein 3 ","K24990","Q08C34"
"18","Pocillopora_acuta_HIv1_PredGene_12017_t",122,2,4,3,4,9.909,1.6018,0.230593,0.113645,0.78255,"elongin-B ","K03873","F1QF30"
"19","Pocillopora_acuta_HIv1_PredGene_12069_t",543,4,5,3,1,7.757,0.9735,0.480805,0.294028,0.819228,"WP_010889536.1 malate synthase A ","K01638","Q9RYN3"
"20","Pocillopora_acuta_HIv1_PredGene_12073_t",597,9,3,7,2,11.298,1.1507,0.405329,0.237956,0.806212,"apoptosis-inducing factor 3 isoform X2 ","K22747","F2Z4R3"
"21","Pocillopora_acuta_HIv1_PredGene_12117_t",212,4,1,3,4,0.391,0.0702,0.938071,0.603879,0.860979,"60S ribosomal protein L13 ","K02873","Q90Z10"
"22","Pocillopora_acuta_HIv1_PredGene_12155_t",556,27,37,24,15,4.559,0.6242,0.649844,0.412754,0.846547,"glucose-6-phosphate isomerase ","K01810","Q8C675"
"23","Pocillopora_acuta_HIv1_PredGene_12270_t",559,9,10,12,10,-7.913,-2.5756,0.116358,0.775123,0.031146,"asparagine synthetase ","K01953","Q8BPC8"
"24","Pocillopora_acuta_HIv1_PredGene_12357_t",437,1,0,0,3,3.885,0.4979,0.713241,0.456691,0.855221,"deoxyribonuclease gamma isoform 1 precursor ","K11995","B7Z707"
"25","Pocillopora_acuta_HIv1_PredGene_12368_t",112,4,3,5,11,12.854,1.396,0.315,0.165634,0.791737,"anoctamin-4 isoform X1 ","K19499","Q8CA37"
"26","Pocillopora_acuta_HIv1_PredGene_12927_t",2780,611,756,660,582,-1.202,-2.7259,0.081561,0.772599,0.018274,"COP1-interactive protein 1 ","K20478","Q38843"
"27","Pocillopora_acuta_HIv1_PredGene_13050_t",160,3,3,0,0,-3.325,-0.4272,0.997178,0.731816,0.797772,"no_annotation","K21995","-"
"28","Pocillopora_acuta_HIv1_PredGene_13208_t",521,0,1,1,1,19.611,1.2657,0.36274,0.203167,0.798867,"uncharacterized protein LOC641500 ","","B8JL34"
"29","Pocillopora_acuta_HIv1_PredGene_13313_t",613,5,4,8,7,7.747,0.7569,0.585689,0.366792,0.836364,"carnitine O-acetyltransferase ","K00624","Q642H6"
"30","Pocillopora_acuta_HIv1_PredGene_1356_t",196,1,1,0,1,-1.459,-0.1169,0.989545,0.660953,0.845862,"ADP-ribosylation factor-like protein 6 isoform X1 ","K07951","Q5M9P8"
"31","Pocillopora_acuta_HIv1_PredGene_13979_t",524,1,4,3,3,-2.838,-0.6109,0.999992,0.760011,0.754336,"dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial isoform 11 ","K00627","P10515"
"32","Pocillopora_acuta_HIv1_PredGene_14125_t",1821,0,1,0,1,4.902,0.5622,0.680351,0.434315,0.850989,"E3 SUMO-protein ligase RanBP2 isoform X1 ","K12172","B8JMJ5"
"33","Pocillopora_acuta_HIv1_PredGene_14319_t",155,17,19,15,19,-0.979,-0.2668,0.999998,0.699229,0.826051,"superoxide dismutase ","K04565","P08228"
"34","Pocillopora_acuta_HIv1_PredGene_14388_t",264,1,1,0,2,1.498,0.1293,0.91276,0.584309,0.863363,"WP_021368890.1 collagen-like exosporium glycoprotein BclA1 ","K19721",""
"35","Pocillopora_acuta_HIv1_PredGene_14565_t",687,4,5,5,8,-16.595,-1.8925,0.440527,0.793642,0.187189,"serine/threonine-protein kinase PAK 3 isoform c ","K05733","Q5JWX1"
"36","Pocillopora_acuta_HIv1_PredGene_14568_t",589,7,4,8,12,-1.734,-0.3428,0.999119,0.71572,0.813596,"serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform ","K03456","Q76MZ3"
"37","Pocillopora_acuta_HIv1_PredGene_14587_t",174,0,0,1,1,11.474,1.0397,0.450955,0.272711,0.814173,"hypothetical protein Rv1486c ","K09966","L0T6T0"
"38","Pocillopora_acuta_HIv1_PredGene_153_t",229,7,4,3,8,-6.352,-1.1794,0.89363,0.804553,0.519088,"hypothetical protein DDB_G0280019 ","","Q54W12"
"39","Pocillopora_acuta_HIv1_PredGene_15455_t",192,5,2,4,10,-5.718,-1.0788,0.952301,0.801173,0.569259,"40S ribosomal protein S9 ","K02997","Q6P5M3"
"40","Pocillopora_acuta_HIv1_PredGene_15557_t",153,3,2,4,5,-0.224,-0.0229,0.969459,0.633369,0.854871,"40S ribosomal protein S14 ","K02955","P62263"
"41","Pocillopora_acuta_HIv1_PredGene_15637_t",404,1,3,0,0,9.085,0.5813,0.670853,0.427671,0.849651,"WP_003426955.1 NAD(P)H-dependent glycerol-3-phosphate dehydrogenase ","K04940",""
"42","Pocillopora_acuta_HIv1_PredGene_15641_t",1129,1,1,0,2,-8.861,-1.4461,0.726654,0.805018,0.386112,"MBT domain-containing protein 1 isoform X1 ","","E7F7F5"
"43","Pocillopora_acuta_HIv1_PredGene_15924_t",657,17,24,27,21,-23.485,-3.4851,0.004323,0.766251,0.000509,"far upstream element-binding protein 3 ","K13210","Q5RKQ3"
"44","Pocillopora_acuta_HIv1_PredGene_16133_t",341,1,1,1,1,-4.04,-0.3729,0.998402,0.721719,0.808204,"45 kDa calcium-binding protein precursor ","K19934","Q7ZUC2"
"45","Pocillopora_acuta_HIv1_PredGene_16231_t",159,2,2,1,2,-0.181,-0.0199,0.968622,0.632449,0.855112,"centrin-3 isoform 2 ","K16466","O15182"
"46","Pocillopora_acuta_HIv1_PredGene_16311_t",373,12,10,15,26,-3.443,-0.5574,0.997788,0.752639,0.768472,"isocitrate dehydrogenase ","K00031","Q802Y2"
"47","Pocillopora_acuta_HIv1_PredGene_16462_t",195,0,2,0,1,0.165,0.0116,0.959124,0.622662,0.857468,"dynein light chain roadblock-type 2 ","K10419","Q9DAJ5"
"48","Pocillopora_acuta_HIv1_PredGene_16615_t",270,2,2,2,2,1.257,0.1001,0.925745,0.594047,0.86233,"eukaryotic translation initiation factor 3 subunit G ","K03248","Q7ZUH3"
"49","Pocillopora_acuta_HIv1_PredGene_16812_t",129,1,2,1,0,-20.308,-1.9673,0.391054,0.791226,0.160757,"ATP-dependent DNA helicase ","K01537","Q54LY5"
"50","Pocillopora_acuta_HIv1_PredGene_16815_t",557,5,0,0,0,-1.824,-0.1968,0.997867,0.682292,0.836098,"hypothetical protein DDB_G0283655 ","","Q54QS9"
"51","Pocillopora_acuta_HIv1_PredGene_17078_t",440,3,1,2,3,2.13,0.1628,0.896821,0.572997,0.864202,"AP-2 complex subunit mu isoform b ","K11826","P53679"
"52","Pocillopora_acuta_HIv1_PredGene_17385_t",230,0,0,2,0,1.312,0.1434,0.906181,0.579565,0.863761,"oligoribonuclease, mitochondrial precursor ","K13288","Q9Y3B8"
"53","Pocillopora_acuta_HIv1_PredGene_17474_t",728,0,0,0,2,-8.004,-1.2319,0.859775,0.805504,0.492737,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial isoform 5 ","K03934","E7ENF3"
"54","Pocillopora_acuta_HIv1_PredGene_17567_t",638,1,1,1,1,7.836,0.9565,0.488748,0.299577,0.820552,"Aldo_ket_red domain-containing protein ","","Q18483"
"55","Pocillopora_acuta_HIv1_PredGene_17583_t",554,30,34,34,17,2.435,0.3731,0.781601,0.50019,0.861699,"pyruvate kinase M1/2b ","K00873","Q6DG54"
"56","Pocillopora_acuta_HIv1_PredGene_17795_t",235,0,1,1,2,9.93,0.9415,0.495836,0.304498,0.821726,"pyridoxine-5'-phosphate oxidase ","K00275","Q3U445"
"57","Pocillopora_acuta_HIv1_PredGene_17906_t",138,3,3,4,3,-16.567,-1.5289,0.678472,0.803587,0.345733,"60S ribosomal protein L28 isoform 2 ","K02903","Q9BWQ0"
"58","Pocillopora_acuta_HIv1_PredGene_18036_t",424,1,1,1,0,3.081,0.388,0.773183,0.494992,0.861081,"WP_004454949.1 Xaa-Pro peptidase family protein ","K08688","C9YPK2"
"59","Pocillopora_acuta_HIv1_PredGene_18115_t",396,0,0,1,1,0.301,0.0194,0.956571,0.620203,0.858001,"histone acetyltransferase type B catalytic subunit ","K11303","Q66HU5"
"60","Pocillopora_acuta_HIv1_PredGene_18229_t",1023,1,2,1,0,-3.985,-0.3882,0.998019,0.724656,0.805359,"alpha-mannosidase 2C1 isoform X2 ","K01191","X1WCE5"
"61","Pocillopora_acuta_HIv1_PredGene_18292_t",1419,2,3,1,3,5.881,0.9615,0.486402,0.297941,0.820161,"host cell factor 1b ","K14966","A8WIP5"
"62","Pocillopora_acuta_HIv1_PredGene_1830_t",350,1,0,0,1,-8.061,-0.5555,0.997722,0.752366,0.76895,"TAR DNA-binding protein 43 ","K23600","A4GUK4"
"63","Pocillopora_acuta_HIv1_PredGene_1834_t",750,1,0,1,0,-6,-0.5796,0.998621,0.755773,0.762772,"endothelin-converting enzyme 1 isoform c ","K01415","B1AXF9"
"64","Pocillopora_acuta_HIv1_PredGene_18375_t",1965,1,1,1,1,-6.164,-0.7655,1,0.77792,0.705701,"cilia- and flagella-associated protein 54 isoform 2 ","","Q96N23"
"65","Pocillopora_acuta_HIv1_PredGene_184_t",123,0,0,1,1,-4.042,-0.3823,0.998165,0.723532,0.806465,"elongin C paralog b ","K03872","Q502M9"
"66","Pocillopora_acuta_HIv1_PredGene_18496_t",426,1,1,2,1,8.251,0.835,0.547498,0.340093,0.830171,"homer protein homolog 2 isoform X1 ","K15010","Q9UNT7"
"67","Pocillopora_acuta_HIv1_PredGene_18532_t",1026,1,1,1,0,-3.862,-0.4266,0.997187,0.731709,0.797892,"ubiquitin-associated protein 2 isoform 7 ","","B4DH66"
"68","Pocillopora_acuta_HIv1_PredGene_18533_t",353,16,13,14,13,0.886,0.1633,0.896575,0.572827,0.864212,"Heterogeneous nuclear ribonucleoprotein K homolog ","K12886","Q8I7G8"
"69","Pocillopora_acuta_HIv1_PredGene_18551_t",243,46,43,55,75,-2.965,-0.9439,1,0.793241,0.633681,"tropomyosin alpha-3 chain isoform Tpm3.2cy ","","Q969Q2"
"70","Pocillopora_acuta_HIv1_PredGene_18740_t",513,39,49,50,52,0.707,0.1882,0.884073,0.564337,0.864596,"ATP synthase subunit beta, mitochondrial precursor ","K02133","A8K4X0"
"71","Pocillopora_acuta_HIv1_PredGene_19154_t",492,16,7,5,9,-17.585,-2.5442,0.125676,0.775727,0.034567,"catalase ","K03781","P17336"
"72","Pocillopora_acuta_HIv1_PredGene_19179_t",341,2,1,0,2,10.09,1.1103,0.421296,0.25047,0.809021,"dickkopf-related protein 3 isoform c precursor ","K25493","Q9QUN9"
"73","Pocillopora_acuta_HIv1_PredGene_19560_t",121,1,0,1,2,-2.297,-0.2139,0.998757,0.686584,0.83377,"V-type proton ATPase subunit F ","K02151","Q6DRK0"
"74","Pocillopora_acuta_HIv1_PredGene_196_t",205,1,1,2,1,7.14,0.6757,0.624954,0.394868,0.842675,"uncharacterized protein Dmel_CG18815, isoform A ","K06130","Q9I7R0"
"75","Pocillopora_acuta_HIv1_PredGene_19618_t",655,1,0,1,0,-5.797,-0.7016,1,0.771102,0.727254,"uncharacterized protein Dmel_CG10804, isoform D ","K05048","Q9W4S0"
"76","Pocillopora_acuta_HIv1_PredGene_19625_t",1160,1,4,1,1,0.411,0.0627,0.941002,0.606321,0.860593,"plasma membrane calcium-transporting ATPase 3 isoform 3b ","K05850","B7WNY5"
"77","Pocillopora_acuta_HIv1_PredGene_19703_t",1028,1,0,2,1,3.662,0.3655,0.785913,0.502841,0.861996,"EGF-like domain-containing protein ","K17307","B0G154"
"78","Pocillopora_acuta_HIv1_PredGene_19704_t",1094,13,8,12,8,-0.424,-0.0406,0.974146,0.638748,0.853388,"EGF-like domain-containing protein ","K06825","B0G154"
"79","Pocillopora_acuta_HIv1_PredGene_19706_t",2350,6,5,8,3,4.423,0.5244,0.699498,0.447467,0.853533,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 precursor ","K24469","Q9H284"
"80","Pocillopora_acuta_HIv1_PredGene_19745_t",495,2,2,0,0,0.399,0.0392,0.949742,0.613903,0.859264,"Calcium/calmodulin-dependent protein kinase II, isoform H ","K04515","Q9V495"
"81","Pocillopora_acuta_HIv1_PredGene_20289_t",211,7,0,8,6,5.471,0.9384,0.497309,0.305519,0.82197,"40S ribosomal protein S5 ","K02989","Q96BN0"
