"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","Annotation","KOid","UniprotID"
"1","Pocillopora_acuta_HIv1_PredGene_10142_t",137,0,0,0,3,-1.159,-0.1028,0.996389,0.781559,0.877856,"cysteine and glycine-rich protein 1a ","K09377","Q6NZV4"
"2","Pocillopora_acuta_HIv1_PredGene_10367_t",210,2,1,1,1,-7.105,-1.1043,0.967903,0.877459,0.687818,"nascent polypeptide-associated complex subunit alpha isoform 2 ","K03626","Q8JIU7"
"3","Pocillopora_acuta_HIv1_PredGene_10384_t",182,36,24,34,30,-10.863,-4.6505,0.000318,0.838808,7e-05,"ADP-ribosylation factor 1-like 2 ","K07937","Q10943"
"4","Pocillopora_acuta_HIv1_PredGene_10385_t",182,37,25,35,33,3.753,1.2264,0.668881,0.463867,0.863546,"ADP ribosylation factor at 79F, isoform F ","K07937","P61209"
"5","Pocillopora_acuta_HIv1_PredGene_10534_t",152,1,0,0,2,3.588,0.3595,0.855356,0.682195,0.892868,"60S ribosomal protein L35 ","K02918","Q6ZWV7"
"6","Pocillopora_acuta_HIv1_PredGene_10692_t",677,5,3,2,1,8.295,0.7813,0.736957,0.593899,0.877613,"acetyl-coenzyme A synthetase 2-like, mitochondrial ","K01895","F1QYS7"
"7","Pocillopora_acuta_HIv1_PredGene_10742_t",124,11,10,9,15,-5.106,-0.5903,1,0.84678,0.818658,"cofilin-like protein ","K05765","E9BKJ8"
"8","Pocillopora_acuta_HIv1_PredGene_10809_t",241,7,3,0,0,3.818,0.5435,0.784942,0.644187,0.88732,"splicing factor 1 isoform X10 ","K00405","D3YZD0"
"9","Pocillopora_acuta_HIv1_PredGene_10950_t",497,0,0,2,0,0.617,0.0476,0.975608,0.751266,0.887702,"alanine aminotransferase 2-like isoform X1 ","K00814","Q6NYL5"
"10","Pocillopora_acuta_HIv1_PredGene_11066_t",517,1,0,0,0,-17.774,-1.6733,0.86144,0.883635,0.445238,"uncharacterized protein LOC767682 ","K01255","Q08CQ0"
"11","Pocillopora_acuta_HIv1_PredGene_11087_t",577,4,4,5,5,-1.338,-0.2665,1,0.808878,0.862854,"alpha-adducin isoform X8 ","K18622","A1A5X4"
"12","Pocillopora_acuta_HIv1_PredGene_11098_t",568,1,1,3,3,-20.544,-1.9307,0.742218,0.881635,0.317623,"shootin-1 isoform 1 ","","Q8C4F6"
"13","Pocillopora_acuta_HIv1_PredGene_11107_t",360,1,0,1,0,7.087,0.4947,0.800764,0.654052,0.889154,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial precursor ","K18123","Q6NY77"
"14","Pocillopora_acuta_HIv1_PredGene_1120_t",246,2,1,0,1,-13.376,-1.5273,0.895281,0.883745,0.515913,"splicing factor 1 isoform X10 ","K02823","D3YZD0"
"15","Pocillopora_acuta_HIv1_PredGene_1126_t",379,1,0,3,3,-6.993,-1.1663,0.959712,0.879162,0.66639,"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial ","K00658","Q8CIE8"
"16","Pocillopora_acuta_HIv1_PredGene_11648_t",803,1,1,0,2,5.879,0.6131,0.766424,0.630101,0.884495,"striatin-3 isoform 1 ","K17608","Q3TNV4"
"17","Pocillopora_acuta_HIv1_PredGene_11681_t",589,3,1,2,2,2.42,0.344,0.862309,0.685532,0.893112,"RNA-binding motif, single-stranded-interacting protein 3 ","K24990","Q08C34"
"18","Pocillopora_acuta_HIv1_PredGene_12017_t",122,2,3,2,4,-2.185,-0.3577,0.999963,0.821497,0.852587,"elongin-B ","K03873","F1QF30"
"19","Pocillopora_acuta_HIv1_PredGene_12069_t",543,3,4,2,1,7.23,1.2123,0.67167,0.468869,0.863901,"WP_010889536.1 malate synthase A ","K01638","Q9RYN3"
