"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,1,0,0,0,7.142,1.0533,0.546551,0.316137,0.909749,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,19,19,20,23,-1.009,-0.3864,0.996349,0.730521,0.956235,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,2,4,3,4,-1.73,-0.2539,0.999904,0.706769,0.961227,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10015",205,3,4,5,6,-0.208,-0.0302,0.97928,0.656833,0.966381,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"5","m.1002",498,0,1,0,0,16.529,2.7515,0.045278,0.011044,0.828708,"3270652","Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1                     "
"6","m.1005",498,9,9,8,10,-4.282,-0.6007,0.98411,0.759997,0.947349,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"7","m.10061",510,2,1,1,6,-10.963,-0.9075,0.996382,0.788441,0.927758,"Q64459","Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1                    "
"8","m.10080",526,15,15,14,15,-3.63,-0.7133,0.983358,0.771884,0.941949,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
"9","m.10093",673,1,1,0,1,-9.826,-1.2648,0.999999,0.80899,0.873324,"B0FYY4","Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1                     "
"10","m.10111",222,0,1,0,1,-4.609,-0.6574,0.982954,0.766238,0.944766,"3660641","Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     "
"11","m.1013",969,0,0,0,0,1.609,0.1723,0.932744,0.602309,0.965363,"A7RU46","Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1                   "
"12","m.10132",182,2,1,1,3,3.305,0.4227,0.844226,0.526019,0.95592,"Q6NZW8","ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1                   "
"13","m.10135",467,2,2,2,3,-8.45,-1.1401,1,0.803176,0.896976,"Q9YI37","Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1                           "
"14","m.10138",474,0,1,1,2,2.065,0.357,0.86919,0.546746,0.959213,"O77775","Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   "
"15","m.10146",361,0,0,0,1,3.928,0.6853,0.746641,0.438938,0.939293,"O43639","Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2                    "
"16","m.10183",616,0,0,1,0,0.884,0.1806,0.930284,0.599915,0.965194,"P60670","Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3                 "
"17","m.10194",572,16,17,14,16,9.347,2.8425,0.035576,0.008082,0.827601,"P15178","Aspartate--tRNA ligase cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1                           "
"18","m.10199",219,5,6,4,5,6.346,1.0688,0.537513,0.311378,0.908337,"Q05975","Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1                    "
"19","m.10239",279,0,0,0,1,-5.965,-0.9259,0.99826,0.789809,0.925875,"P31483","Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3                   "
