"","PROTID","PROTLEN","DEFLINE","FSW1","FSW2","FSW3","LIP1","LIP2","LIP3","LIP4","LBP1","LBP2","MIP1","MIP2","MIP3","MIP4","MBP1","MBP2","MBP3","MBP4","HIP1","HIP2","HBP1","HBP2","HBP3","HBP4"
"1","m.1",362,"Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1",0,0,0,0,0.5,0,1.5,0.5,0,0.5,1.5,0.5,1.5,0.5,0,0,1,1,0,0.5,0,0,2
"2","m.1000",214,"Myophilin OS=Echinococcus granulosus PE=2 SV=1",28.6666666666667,29.5,12,21.5,29.5,12.5,10.5,33.5,30.5,25.5,25.5,11,12,27,13.5,11,8,19.5,19.5,20,23,13,12
"3","m.10007",400,"E3 ubiquitin-protein ligase KCMF1 OS=Homo sapiens GN=KCMF1 PE=1 SV=2",0,0,0.5,0,0,0,0.5,0,0,0,0,1,0.5,0,0,0,1,0,0,0,0,1,0
"4","m.10009",206,"Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1",3,3,0,1.5,5.5,0,0,3,3,3,2.5,0,0,2,0.5,0,0,2.5,4.5,3,4,0,0
"5","m.10015",205,"Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1",5.33333333333333,5.5,3,4,7.5,2.5,3,6,7.5,7.5,5.5,3,3.5,6,3.5,3.5,2,3.5,4,5,6,3,3.5
"6","m.1002",498,"Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1",0.333333333333333,1,0,0,1,0,0,1,2,1.5,1,0,0,0,0,0,0,0,1,0,0,0,0
"7","m.10038",212,"Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1",3,3.5,0,0,1,0,0,2,3.5,1,2.5,0,0,1,0,0,0,0,0,0,0,0,0
"8","m.1005",498,"Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1",11.6666666666667,12.5,5,6.5,11,5,5,16.5,14.5,16,10.5,8.5,5.5,15,4.5,1.5,1.5,9,9,8,10,6.5,2
"9","m.10054",107,"Adipocyte enhancer-binding protein 1 OS=Homo sapiens GN=AEBP1 PE=1 SV=1",0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,1,0.5
"10","m.10055",770,"CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1",0.333333333333333,1,0,0,0,2.5,1.5,1.5,1.5,1,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0.5,0
"11","m.10061",510,"Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1",3.66666666666667,2,0,0,2.5,0,0,4.5,5.5,3,5,0,0,4.5,2,0,0,2.5,1.5,1,6,0,0
"12","m.1007",159,"Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3",1.66666666666667,0.5,1,0.5,1.5,0.5,0.5,2,1,1,1,0.5,0.5,1,0.5,0,0,0,0,0,0,0.5,0
"13","m.10071",163,"Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g115283 PE=4 SV=1",0,0,1,0,0,1.5,0,0,0,0,0,1.5,0,0,0,2,0,0,0,0,0,1.5,0
"14","m.10080",526,"Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2",17,14,5,11,14.5,9.5,7,14.5,15,14.5,15,6,4.5,16.5,16,6.5,6,15,15,14.5,15,7.5,7
"15","m.10093",673,"Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1",1,1,1.5,0,1.5,2,1.5,3.5,1.5,1,1,0.5,1.5,0.5,0.5,0.5,1,1.5,1,0,1,1,1.5
