Protein,Len,HS1,HS2,HS3,HD1,HD2,HD3,LogFldChng-K34-K36vsK37-K39,Zstat-K34-K36vsK37-K39,fdr-K34-K36vsK37-K39,FDRup-K34-K36vsK37-K39,FDRdown-K34-K36vsK37-K39,DEFLINE
m.1,362,5,7,6,2,1,2,-1.354,-2.677,0.13341,0.978841,0.027487,Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1
m.1000,214,9,14,13,22,11,25,0.466,2.125,0.370176,0.069884,0.992486,Myophilin OS=Echinococcus granulosus PE=2 SV=1
m.10001,144,0,0,0,0,0,0,-0.044,-0.0534,0.526744,0.952698,0.955866,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_117755 PE=4 SV=1
m.10005,199,0,0,0,0,0,0,-0.09,-0.0974,0.529858,0.920413,0.990495,ER membrane protein complex subunit 8 OS=Rattus norvegicus GN=Emc8 PE=2 SV=1
m.10007,400,0,0,0,0,0,0,-0.044,-0.0499,0.526926,0.955404,0.95341,E3 ubiquitin-protein ligase KCMF1 OS=Homo sapiens GN=KCMF1 PE=1 SV=2
m.10009,206,21,16,6,15,20,16,0.167,0.8242,1,0.996549,0.946449,Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1
m.10012,278,2,2,0,2,1,1,-0.266,-0.3749,0.818718,0.833645,1,Roundabout homolog 1 OS=Mus musculus GN=Robo1 PE=1 SV=1
m.10015,205,11,12,5,15,7,15,0.278,1.128,1,0.650146,0.984783,Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1
m.1002,498,0,2,1,0,0,0,-0.361,-0.4263,0.939025,0.834982,1,Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1
m.10023,149,0,0,0,0,0,0,-0.067,-0.0799,0.52742,0.932189,0.976593,m.10023
m.1005,498,5,11,37,13,12,7,-0.519,-2.2949,0.34275,0.987884,0.087565,Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1
m.10055,770,0,0,1,0,0,0,-0.079,-0.092,0.52893,0.925025,0.98485,CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1
m.10061,510,0,0,0,0,0,0,0.031,0.0356,0.551526,1,0.902039,Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1
m.1007,159,0,0,1,0,0,0,-0.044,-0.055,0.526675,0.950024,0.958353,Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3
m.10080,526,7,4,10,11,19,11,0.668,2.5957,0.116765,0.013605,0.984455,Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2
m.10093,673,1,4,5,3,0,0,-0.747,-1.2651,1,0.976131,0.739291,Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1
m.10101,187,0,0,0,0,0,0,0.021,0.0238,0.545753,1,0.907181,Universal stress protein A-like protein OS=Arabidopsis thaliana GN=At3g01520 PE=1 SV=2
m.10110,697,0,0,0,0,0,0,-0.016,-0.0178,0.531564,0.981126,0.932689,Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1
m.10111,222,5,4,9,6,3,9,0.004,0.0111,0.540422,1,0.914472,Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1
m.10117,540,1,1,0,0,0,0,-0.047,-0.0562,0.526644,0.950024,0.958353,Signal peptide peptidase-like 2B OS=Gallus gallus GN=SPPL2B PE=2 SV=1
m.10119,416,0,0,0,0,0,0,-0.037,-0.0403,0.52775,0.963707,0.946225,AP-3 complex subunit mu-1 OS=Pongo abelii GN=AP3M1 PE=2 SV=1
m.1013,969,0,0,1,0,0,0,-0.06,-0.0697,0.52673,0.939641,0.968598,Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1
m.10132,182,0,2,6,0,0,0,-1.234,-1.71,1,0.995539,0.349225,ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1
m.10133,155,0,0,0,0,0,0,0.059,0.0682,0.571699,1,0.886854,Selenoprotein O OS=Mus musculus GN=Selo PE=2 SV=4
m.10134,282,0,1,0,0,1,0,0.019,0.0221,0.54499,1,0.90896,Cln5-like protein 1 OS=Dictyostelium discoideum GN=cln5la PE=3 SV=1
m.10135,467,0,11,18,1,5,8,-0.797,-2.371,0.284386,0.986041,0.071106,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1"
m.10138,474,1,2,4,0,1,1,-0.982,-1.361,1,0.983411,0.644715,Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1
m.10139,271,2,0,0,0,4,0,0.441,0.6323,1,1,0.909383,Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1
m.10145,179,0,0,0,0,0,0,0.029,0.034,0.550694,1,0.902037,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g223497 PE=4 SV=1
m.10146,361,0,0,0,0,0,0,-0.045,-0.0513,0.526839,0.955405,0.95341,Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2
m.10164,157,0,1,0,0,0,0,-0.05,-0.057,0.526623,0.950024,0.958353,m.10164
m.10166,103,0,0,0,0,0,0,-0.067,-0.0769,0.527162,0.934641,0.973899,Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein OS=Xenopus tropicalis GN=hmces PE=2 SV=1
m.10168,220,0,0,0,0,0,0,-0.019,-0.0221,0.530633,0.978149,0.934867,Platelet-activating factor acetylhydrolase IB subunit gamma OS=Mus musculus GN=Pafah1b3 PE=1 SV=1
m.10171,529,0,0,1,0,0,0,-0.101,-0.1148,0.533865,0.909445,1,Cleavage and polyadenylation specificity factor subunit 7 OS=Rattus norvegicus GN=Cpsf7 PE=2 SV=1
m.10181,285,0,1,0,0,0,0,-0.062,-0.0674,0.526648,0.942189,0.965992,Geranylgeranyl transferase type-2 subunit alpha OS=Homo sapiens GN=RABGGTA PE=1 SV=2
m.10182,249,0,0,1,0,0,0,-0.017,-0.0191,0.531276,0.981127,0.932687,DnaJ homolog subfamily C member 8 OS=Homo sapiens GN=DNAJC8 PE=1 SV=2
m.10183,616,0,0,0,0,0,0,0.014,0.0159,0.54233,1,0.912607,Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3
m.10194,572,14,50,38,25,45,34,0.022,0.157,0.66201,1,0.860713,"Aspartate--tRNA ligase, cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1"
m.10196,145,3,2,1,0,0,1,-0.784,-1.0201,1,0.9465,0.995837,Glutathione peroxidase 1 OS=Rattus norvegicus GN=Gpx1 PE=1 SV=4
m.10199,219,8,17,23,20,7,26,0.104,0.5152,1,1,0.883975,Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1
m.1020,1917,0,0,0,1,0,0,-0.081,-0.0887,0.52844,0.92738,0.982069,CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2
m.10205,893,0,0,0,0,0,3,0.523,0.7115,1,1,0.925586,Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1
m.10216,265,0,0,0,0,0,0,0.029,0.0336,0.550486,1,0.902036,m.10216
m.10239,279,0,0,0,0,0,0,-0.113,-0.1327,0.539655,0.899287,1,Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3
m.1024,399,0,0,3,0,0,0,-0.592,-0.7393,1,0.891147,1,Uromodulin OS=Homo sapiens GN=UMOD PE=1 SV=1
m.10254,141,0,0,1,0,0,0,-0.129,-0.147,0.545528,0.889941,1,m.10254
m.10255,101,0,0,0,0,0,0,-0.136,-0.1521,0.547897,0.888164,1,Proteasome assembly chaperone 4 OS=Homo sapiens GN=PSMG4 PE=2 SV=2
