PROTID,DEFLINE,PN1,PO1,WN31,WO31,OO1,ON2,ON3,ON1,OO2,OO3,OO2,WO31,OO1,ON2,ON3,PN1,PO1,WN31,WO31,OO1,ON2,ON3,PN1,PO1,WN31,OO2,ON1,OO3
m.10111,Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1,3,1,2,1,3,2,3,1,3,1,3,2,3,2,3,3,1,0,3,3,2,3,2,0,3,3,1,0
m.11819,Carbonyl reductase [NADPH] 1 OS=Oryctolagus cuniculus GN=CBR1 PE=2 SV=2,6,5,2,1,3,3,3,3,5,4,7,1,3,3,3,6,6,2,2,3,6,4,4,4,2,6,3,4
m.31443,Guanine deaminase OS=Bacillus subtilis (strain 168) GN=guaD PE=1 SV=1,4,1,0,1,0,1,1,1,0,2,0,1,0,0,1,2,0,1,1,0,0,1,1,0,0,0,0,0
m.3153,Pantetheinase OS=Sus scrofa GN=VNN1 PE=2 SV=1,7,4,7,4,6,6,4,6,6,8,4,4,3,5,3,7,4,9,4,4,6,2,7,3,8,4,6,6
m.31542,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,1,1,1,1,1,1,2,0,2,1,0,0,1,1,1,1,1,1,1,1,1,2,0,1,1,2,0,1
m.31593,cAMP-dependent protein kinase type II regulatory subunit OS=Strongylocentrotus purpuratus PE=2 SV=1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
m.316,Glutathione S-transferase omega-1 OS=Mus musculus GN=Gsto1 PE=2 SV=2,2,1,2,1,2,1,3,1,4,1,3,3,2,2,2,3,1,1,2,3,1,3,3,2,0,2,3,2
m.31603,Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1,1,2,1,2,2,1,1,1,1,3,4,3,2,0,2,2,1,2,3,2,1,2,1,1,1,2,0,2
m.31623,"GDP-mannose 4,6 dehydratase OS=Mus musculus GN=Gmds PE=2 SV=1",3,2,2,3,2,2,4,1,2,1,3,2,2,5,4,2,3,1,3,2,4,4,3,3,2,4,2,3
m.31625,Guanylate kinase OS=Mus musculus GN=Guk1 PE=1 SV=2,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,2,1
m.3167,Predicted protein OS=Nematostella vectensis GN=v1g243852 PE=4 SV=1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
m.31712,60S ribosomal protein L23 OS=Rattus norvegicus GN=Rpl23 PE=2 SV=1,3,2,2,3,3,3,4,3,3,3,2,3,3,3,3,4,2,4,4,2,3,3,2,2,3,2,3,4
m.11820,Melanoma inhibitory activity protein 3 OS=Homo sapiens GN=MIA3 PE=1 SV=1,1,0,0,0,0,0,1,0,1,2,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1
m.3172,Toll-interacting protein OS=Homo sapiens GN=TOLLIP PE=1 SV=1,4,3,1,1,2,2,4,2,2,4,3,2,2,2,3,2,2,0,3,1,1,4,2,4,2,3,2,2
m.31748,Prefoldin subunit 4 OS=Homo sapiens GN=PFDN4 PE=1 SV=1,3,2,2,3,3,2,3,2,3,3,2,3,3,2,2,3,3,2,3,4,2,2,2,2,2,3,2,3
m.3177,Glutaredoxin-C8 OS=Oryza sativa subsp. japonica GN=GRXC8 PE=2 SV=2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0
m.31958,"ES1 protein homolog, mitochondrial OS=Rattus norvegicus PE=1 SV=2",2,3,2,2,3,1,2,1,3,0,2,2,3,0,2,2,2,2,2,2,1,1,2,1,2,3,1,1
m.31989,Endoplasmic reticulum resident protein 29 OS=Homo sapiens GN=ERP29 PE=1 SV=4,8,6,8,5,7,8,7,10,8,8,10,5,9,9,6,10,7,8,8,6,9,8,10,8,10,9,10,7
m.32004,Phenylalanine--tRNA ligase alpha subunit OS=Danio rerio GN=farsa PE=2 SV=2,10,7,6,5,5,8,7,7,6,9,7,7,6,7,4,11,5,6,5,7,5,7,10,5,6,7,9,7
m.32071,Alpha-adducin OS=Rattus norvegicus GN=Add1 PE=2 SV=2,3,1,0,2,2,0,1,2,1,2,1,2,2,1,1,2,1,3,1,2,1,1,2,2,1,2,2,1
m.32074,Uridine-cytidine kinase 2-A OS=Danio rerio GN=uck2a PE=2 SV=1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2
m.32107,Coatomer subunit epsilon OS=Cricetulus griseus GN=COPE PE=2 SV=2,3,4,2,4,2,1,3,2,4,2,2,4,1,2,2,3,2,2,3,3,2,3,2,2,2,2,2,3
m.32114,Farnesyl pyrophosphate synthase OS=Gallus gallus GN=FDPS PE=1 SV=2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,2,1,0,0,2,0,0,0,0,0
m.11826,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh4a1 PE=1 SV=3",0,1,1,0,0,0,1,1,2,1,1,0,0,0,0,1,1,0,1,0,1,2,1,1,1,1,1,1
m.32194,Predicted protein OS=Nematostella vectensis GN=v1g246919 PE=4 SV=1,2,0,0,0,1,0,0,0,0,2,0,0,2,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1
m.3220,Hydroxysteroid dehydrogenase-like protein 2 OS=Danio rerio GN=hsdl2 PE=2 SV=1,6,4,5,4,2,10,8,8,5,6,5,5,3,7,5,6,4,4,4,5,11,7,9,6,3,6,8,5
m.3221,N-acetylgalactosamine-6-sulfatase OS=Rattus norvegicus GN=Galns PE=1 SV=1,7,2,5,4,9,6,6,8,7,9,8,5,8,7,4,7,3,5,6,7,7,5,5,3,6,5,8,5
m.32275,GRIP1-associated protein 1 OS=Rattus norvegicus GN=Gripap1 PE=1 SV=1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,2,2,0,1,1,1,0
m.323,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform OS=Mus musculus GN=Ppp2r5a PE=2 SV=1,6,5,3,4,5,5,5,3,7,6,6,3,5,7,6,5,6,4,4,6,6,5,6,7,3,6,5,3
m.32319,m.32319,0,1,1,0,1,0,1,0,2,1,2,0,1,0,1,1,0,1,0,1,2,2,0,0,0,1,0,0
m.32350,Prefoldin subunit 2 OS=Homo sapiens GN=PFDN2 PE=1 SV=1,0,1,2,1,1,2,2,1,2,2,3,1,0,3,3,2,1,2,1,2,4,3,1,1,2,3,2,2
m.32357,C-Myc-binding protein OS=Mus musculus GN=Mycbp PE=2 SV=5,4,3,3,3,3,3,3,1,4,3,3,3,2,1,2,4,2,4,3,2,1,3,4,3,5,2,1,3
m.32372,Tenascin-X OS=Homo sapiens GN=TNXB PE=1 SV=3,1,0,3,0,3,2,1,5,1,4,2,0,2,2,0,0,0,2,2,1,0,1,1,1,2,2,4,2
m.11831,Glutathione S-transferase U20 OS=Arabidopsis thaliana GN=GSTU20 PE=1 SV=1,4,5,6,2,6,2,4,3,4,4,1,5,7,2,5,4,5,7,4,7,3,4,4,4,7,3,2,4
m.32400,"Myosin, essential light chain OS=Branchiostoma floridae PE=2 SV=1",13,11,11,11,10,12,11,12,18,13,15,13,12,11,13,13,12,10,12,11,10,13,14,15,11,16,10,15
m.32437,Quinone oxidoreductase OS=Homo sapiens GN=CRYZ PE=1 SV=1,4,4,5,4,7,3,5,8,7,3,5,4,5,4,5,5,4,5,6,7,4,7,5,4,6,5,7,4
m.32472,Sphingomyelinase phosphodiesterase D OS=Dictyostelium discoideum GN=sgmD PE=3 SV=1,0,1,1,0,1,1,2,0,1,2,3,1,1,0,1,0,0,1,0,1,1,4,1,1,1,1,0,0
m.3251,Bifunctional glutamate/proline--tRNA ligase OS=Mus musculus GN=Eprs PE=1 SV=4,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,2,2,0,1,0,1,1
m.3255,von Willebrand factor A domain-containing protein 5A OS=Rattus norvegicus GN=Vwa5a PE=2 SV=1,1,0,2,0,0,2,2,3,2,0,1,0,0,1,1,2,0,1,0,0,0,1,2,0,0,1,2,1
m.3257,Beta-galactosidase OS=Bos taurus GN=GLB1 PE=2 SV=1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
m.32635,Universal stress protein Slr1101 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=slr1101 PE=3 SV=1,0,0,0,0,0,3,0,4,1,0,0,0,0,3,1,1,0,0,1,0,2,0,1,0,0,1,2,1
m.32645,Adenylosuccinate synthetase isozyme 2 OS=Sus scrofa GN=ADSS PE=2 SV=1,3,0,0,0,1,2,2,2,3,1,1,0,1,2,0,1,0,0,0,1,0,1,1,0,0,2,1,0
m.3273,m.3273,0,1,1,0,0,3,2,1,2,4,3,2,1,1,1,2,1,0,0,1,3,2,1,0,1,3,0,1
m.3276,Insoluble matrix shell protein 1 (Fragment) OS=Venerupis philippinarum PE=1 SV=1,2,0,2,1,2,4,6,6,2,5,1,0,2,5,4,2,0,5,0,4,3,4,2,0,6,4,4,4
m.11832,Disks large homolog 1 OS=Xenopus tropicalis GN=dlg1 PE=2 SV=1,9,9,3,8,6,6,11,5,7,8,9,7,6,8,9,12,7,7,9,8,9,6,7,11,9,10,6,6
m.32828,Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=2,5,3,4,0,6,7,3,7,2,6,2,0,5,5,4,6,4,2,0,3,6,4,5,4,3,3,7,4
m.32831,L-tyrosine decarboxylase OS=Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) GN=mfnA PE=3 SV=1,5,6,6,4,7,5,5,4,6,6,6,3,6,5,6,5,6,6,5,6,5,5,6,5,7,6,5,5
m.32846,Copine-3 OS=Homo sapiens GN=CPNE3 PE=1 SV=1,1,0,1,2,1,0,1,1,1,2,1,3,1,0,2,1,1,1,1,1,0,2,3,0,2,1,0,1
m.33004,Antigen KI-67 (Fragment) OS=Hydra vulgaris GN=MKI67 PE=2 SV=1,1,0,1,2,2,1,0,1,1,1,1,1,1,1,2,2,1,0,1,2,1,2,2,1,0,2,0,0
m.33026,Small ubiquitin-related modifier 1 OS=Gallus gallus GN=SUMO1 PE=3 SV=1,6,7,6,5,7,7,6,6,7,5,6,7,7,7,7,5,7,6,6,7,7,6,6,6,7,6,5,6
m.33051,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3,0,0,0,2,3,0,0,0,1,0,1,2,1,3,2,1,0,1,2,1,2,1,1,1,1,1,0
m.33135,Histone H4 OS=Dendronephthya klunzingeri GN=H4DEKL PE=3 SV=3,26,23,12,13,10,30,22,23,20,24,21,17,12,30,24,28,23,13,13,13,31,25,28,22,11,21,26,22
m.33136,Mannose-1-phosphate guanyltransferase alpha-A OS=Danio rerio GN=gmppaa PE=2 SV=1,1,1,1,0,1,2,4,1,1,1,1,1,1,2,3,2,0,1,1,1,4,3,1,0,1,2,1,1
m.332,Small cysteine-rich protein 3a OS=Montastraea faveolata GN=SCRiP3a PE=4 SV=1,25,16,19,9,13,24,14,49,10,19,9,9,11,29,11,23,14,15,5,12,22,12,24,13,23,9,43,19
m.33261,RuvB-like 1 OS=Homo sapiens GN=RUVBL1 PE=1 SV=1,1,1,1,2,2,0,1,1,0,1,1,1,2,0,2,1,2,1,1,1,0,1,0,1,0,2,0,0
m.11842,Predicted protein OS=Nematostella vectensis GN=v1g240789 PE=4 SV=1,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2
m.33265,hypothetical protein BRAFLDRAFT_98085 [Branchiostoma floridae],0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1
m.3341,Beta carbonic anhydrase 1 OS=Caenorhabditis briggsae GN=bca-1 PE=3 SV=2,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,2,1,1,1,0,0,0,0,1
m.33410,m.33410,2,2,2,1,2,1,2,2,2,1,2,2,2,1,1,2,1,2,2,3,2,2,2,2,1,2,1,1
m.33455,Putative aminopeptidase W07G4.4 OS=Caenorhabditis elegans GN=W07G4.4 PE=1 SV=1,3,2,2,1,1,2,4,2,3,3,5,1,1,2,2,2,1,1,1,2,3,3,1,2,1,1,2,3
m.3347,FERM domain-containing protein 8 OS=Mus musculus GN=Frmd8 PE=1 SV=2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1
m.33471,Signal recognition particle 19 kDa protein OS=Mus musculus GN=Srp19 PE=2 SV=1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
m.33472,Predicted protein OS=Nematostella vectensis GN=v1g241995 PE=4 SV=1,1,1,1,1,2,3,2,5,1,2,3,1,1,3,1,2,1,1,1,1,2,1,1,1,1,3,3,1
m.33492,m.33492,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0
m.33503,Proteasome subunit beta type-5 OS=Mus musculus GN=Psmb5 PE=1 SV=3,3,2,1,2,2,5,3,3,3,2,3,2,2,3,7,3,2,2,3,2,3,3,3,2,1,5,2,2
m.33514,26S proteasome non-ATPase regulatory subunit 14 OS=Drosophila melanogaster GN=Rpn11 PE=1 SV=1,4,3,5,7,5,3,7,3,3,5,4,7,5,4,5,5,4,6,5,7,3,7,5,5,6,4,3,2
m.11876,Gamma-interferon-inducible lysosomal thiol reductase OS=Homo sapiens GN=IFI30 PE=1 SV=3,1,0,0,0,0,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
m.33573,UPF0505 protein CG8202 OS=Drosophila melanogaster GN=CG8202 PE=2 SV=3,2,0,0,0,1,0,0,1,1,2,1,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0
m.33585,Hypothetical transporter OS=Cyanothece sp. CCY0110 GN=CY0110_03479 PE=4 SV=1,3,2,1,3,1,3,4,2,4,3,3,1,3,2,3,3,1,1,1,2,2,4,4,1,1,4,2,1
m.33614,Uncharacterized protein OS=Enterobacter sp. R4-368 GN=H650_01505 PE=4 SV=1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,4,0,0,0
m.3377,Putative histone H1.6 OS=Caenorhabditis elegans GN=hil-6 PE=3 SV=3,7,6,3,4,3,5,3,5,6,5,8,4,4,6,5,2,6,3,3,4,5,5,7,6,3,7,5,6
m.33823,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1,1,0,0,0,1,1,1,1,1,2,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
m.33827,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
m.33851,Chitotriosidase-1 OS=Homo sapiens GN=CHIT1 PE=1 SV=1,1,1,1,0,1,1,0,2,3,1,3,1,1,2,0,0,0,1,0,0,1,0,0,0,1,2,1,1
