"","Protein","Len","S0","S0.1","S0.2","S1","S1.1","S1.2","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,2,2,2,0,1,1,-0.676,-0.7198,0.926563,0.768825,0.551133,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,10,14,11,16,16,14,0.47,1.1821,0.000136,2.4e-05,0.768115,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,3,4,5,3,3,5,-0.272,-0.4183,1,0.711768,0.84293,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10012",278,0,1,1,0,0,0,-0.256,-0.2436,1,0.625379,0.901685,"O89026","Roundabout homolog 1 OS=Mus musculus GN=Robo1 PE=1 SV=1                    "
"5","m.10015",205,5,5,5,4,4,4,-0.119,-0.1899,1,0.586709,0.911966,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"6","m.1005",498,3,2,3,4,4,3,0.196,0.2816,0.516308,0.122909,0.912945,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"7","m.10054",107,0,0,0,1,1,1,-0.258,-0.2476,1,0.628008,0.90081,"Q8IUX7","Adipocyte enhancer-binding protein 1 OS=Homo sapiens GN=AEBP1 PE=1 SV=1                   "
"8","m.10080",526,6,7,6,9,9,11,0.55,1.0925,0.000427,7.8e-05,0.774123,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
"9","m.10111",222,2,0,3,1,2,3,-0.698,-0.7747,0.861015,0.771261,0.471889,"3660641","Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     "
"10","m.10135",467,7,3,5,6,9,7,0.297,0.5261,0.117635,0.024199,0.859158,"Q9YI37","Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1                           "
"11","m.10138",474,0,1,1,3,0,1,0.554,0.6612,0.039697,0.007915,0.830584,"O77775","Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   "
"12","m.10164",157,1,1,0,0,1,1,-0.355,-0.3442,1,0.681721,0.873806,NA,NA
"13","m.10182",249,0,0,0,1,1,2,-0.342,-0.3407,1,0.680081,0.875015,"O75937","DnaJ homolog subfamily C member 8 OS=Homo sapiens GN=DNAJC8 PE=1 SV=2                 "
"14","m.10194",572,7,11,10,12,9,12,0.313,0.7479,0.018086,0.00356,0.814923,"P15178","Aspartate--tRNA ligase cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1                           "
"15","m.10199",219,5,3,6,5,5,6,-0.061,-0.1121,1,0.519218,0.922926,"Q05975","Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1                    "
"16","m.10260",232,1,1,3,0,0,0,-1.024,-1.0964,0.303595,0.764423,0.100173,"3665646","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1                    "
"17","m.10289",705,1,0,1,1,1,1,-0.322,-0.319,1,0.669426,0.882077,"P41541","General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1                  "
"18","m.10324",680,0,0,1,0,0,1,-0.301,-0.2768,0.999968,0.64618,0.8939,"Q04446","14-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3                           "
"19","m.10327",1122,3,3,3,2,4,4,-0.251,-0.3072,1,0.66327,0.885624,"Q1LZA7","LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1                   "
"20","m.10346",250,1,1,1,0,1,0,-0.271,-0.2536,1,0.631887,0.899467,"Q9NR16","Scavenger receptor cysteine-rich type 1 protein M160 OS=Homo sapiens GN=CD163L1 PE=1 SV=2                "
"21","m.1036",1192,1,0,0,1,1,1,-0.305,-0.2989,0.999982,0.658782,0.888004,"O57683","Splicing factor 3B subunit 1 OS=Xenopus laevis GN=sf3b1 PE=2 SV=1                  "
"22","m.10378",725,4,4,4,2,3,3,-0.421,-0.5877,0.999999,0.75397,0.717218,"Q03516","Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1               "
"23","m.1038",113,5,3,4,4,6,6,0.159,0.2393,0.614205,0.154261,0.920052,"P51397","Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3                    "
"24","m.10387",484,1,0,3,0,1,2,-0.801,-0.9424,0.571449,0.770094,0.24295,"Q8IV20","Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1                   "
"25","m.104",1674,13,10,10,9,9,10,0.006,0.0127,0.973228,0.386671,0.933136,"Q68FD5","Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3                   "
"26","m.1041",396,1,0,0,3,1,2,0.656,0.8162,0.009294,0.001814,0.804196,"Q0VFL3","KH domain-containing RNA-binding signal transduction-associated protein 2 OS=Xenopus tropicalis GN=khdrbs2 PE=2 SV=1                           "
"27","m.10463",220,0,1,3,3,2,3,0.05,0.0664,0.928042,0.32578,0.934085,"Q32NG4","Parkinson disease 7 domain-containing protein 1 OS=Xenopus laevis GN=pddc1 PE=2 SV=1                 "
"28","m.10468",320,3,3,3,3,5,5,0.064,0.0889,0.901346,0.300632,0.933751,NA,NA
"29","m.10472",547,2,0,1,1,1,2,-0.124,-0.1282,1,0.534291,0.920976,"Q5D1D6","Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1                   "
"30","m.10496",298,5,6,7,5,7,10,-0.135,-0.2477,1,0.628073,0.900788,"Q5R5D5","Alcohol dehydrogenase [NADP(+)] OS=Pongo abelii GN=AKR1A1 PE=2 SV=1                    "
"31","m.10499",214,2,1,2,2,1,1,-0.213,-0.2417,1,0.624119,0.902095,"Q13825","Methylglutaconyl-CoA hydratase mitochondrial OS=Homo sapiens GN=AUH PE=1 SV=1                           "
"32","m.1054",285,5,6,6,7,6,3,0.268,0.5202,0.122864,0.02532,0.860496,"Q2Q1W2","E3 ubiquitin-protein ligase TRIM71 OS=Homo sapiens GN=TRIM71 PE=1 SV=1                   "
"33","m.10558",176,1,2,1,2,2,1,0.256,0.2692,0.544884,0.131601,0.915151,"3280410","Predicted protein OS=Nematostella vectensis GN=v1g246076 PE=4 SV=1                     "
"34","m.10560",427,4,1,2,3,3,4,0.471,0.5826,0.076265,0.015453,0.846669,"Q55G75","PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1                   "
"35","m.10575",652,1,2,2,1,1,1,-0.701,-0.7131,0.933194,0.768395,0.560576,"Q8K5C0","Grainyhead-like protein 2 homolog OS=Mus musculus GN=Grhl2 PE=2 SV=1                   "
"36","m.1060",147,1,1,1,0,1,1,-0.16,-0.1586,1,0.56119,0.916864,"P62184","Calmodulin OS=Renilla reniformis PE=1 SV=2                       "
"37","m.10603",487,2,2,2,1,0,1,-0.543,-0.576,1,0.751971,0.729147,"O54991","Contactin-associated protein 1 OS=Mus musculus GN=Cntnap1 PE=2 SV=2                    "
"38","m.10605",698,0,1,0,0,0,0,-0.331,-0.3233,1,0.671605,0.880734,"P08478","Peptidyl-glycine alpha-amidating monooxygenase A OS=Xenopus laevis GN=pam-a PE=1 SV=3                   "
"39","m.10621",420,2,2,3,5,3,5,0.583,0.9285,0.002864,0.000548,0.78955,"Q5EA61","Creatine kinase B-type OS=Bos taurus GN=CKB PE=2 SV=1                    "
"40","m.10638",702,0,0,0,0,0,1,-0.36,-0.3745,1,0.695055,0.862467,"Q8C0Y0","Serine/threonine-protein phosphatase 4 regulatory subunit 4 OS=Mus musculus GN=Ppp4r4 PE=2 SV=1                 "
"41","m.10645",257,0,1,0,1,1,1,-0.242,-0.2187,1,0.60824,0.906776,NA,NA
"42","m.1069",424,3,3,5,4,4,7,0.026,0.0421,0.951571,0.353289,0.933952,"Q3T0K2","T-complex protein 1 subunit gamma OS=Bos taurus GN=CCT3 PE=1 SV=1                  "
"43","m.10693",451,0,0,0,0,0,1,-0.215,-0.2001,1,0.594547,0.910207,"Q61555","Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2                      "
"44","m.107",99,3,4,4,4,4,5,0.083,0.1276,0.844122,0.258723,0.932122,NA,NA
"45","m.10713",218,9,8,9,8,8,12,0.019,0.0415,0.952087,0.353971,0.933943,"P62494","Ras-related protein Rab-11A OS=Rattus norvegicus GN=Rab11a PE=1 SV=3                    "
"46","m.10714",429,5,5,5,5,5,4,0.088,0.1404,0.822149,0.245372,0.931287,"B1H120","Septin-8 OS=Xenopus tropicalis GN=sept8 PE=2 SV=1                      "
"47","m.10726",1630,2,0,1,1,2,2,-0.172,-0.1749,1,0.574756,0.914403,"P02466","Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3                    "
"48","m.1073",371,2,3,1,2,2,3,0.431,0.4978,0.144473,0.029987,0.86562,"Q9NZR1","Tropomodulin-2 OS=Homo sapiens GN=TMOD2 PE=1 SV=1                      "
"49","m.1074",292,1,1,1,0,1,2,-0.117,-0.1148,1,0.521785,0.922609,"Q5SRE7","Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Homo sapiens GN=PHYHD1 PE=1 SV=2                  "
"50","m.10744",282,2,2,3,2,1,2,-0.312,-0.4071,1,0.707766,0.848314,"P07846","Sorbitol dehydrogenase OS=Ovis aries GN=SORD PE=1 SV=1                     "
"51","m.10807",572,12,10,10,13,9,10,0.398,0.9705,0.001797,0.000341,0.784972,"3267080","Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1                     "
"52","m.10812",189,1,1,0,0,0,0,-0.29,-0.2682,1,0.641011,0.896035,"P31696","Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3                      "
"53","m.10816",192,2,2,2,1,1,1,-0.586,-0.5889,1,0.754168,0.715963,"Q6P3Z3","THAP domain-containing protein 4 OS=Mus musculus GN=Thap4 PE=2 SV=1                   "
"54","m.10818",372,1,1,1,1,1,1,-0.221,-0.2088,1,0.601047,0.90864,"Q32KI9","Arylsulfatase I OS=Mus musculus GN=Arsi PE=2 SV=1                     "
"55","m.10831",206,2,1,1,0,0,1,-0.227,-0.2205,1,0.609524,0.906427,"Q292N4","Latrophilin Cirl OS=Drosophila pseudoobscura pseudoobscura GN=Cirl PE=3 SV=2                    "
"56","m.10852",208,1,1,0,0,0,0,-0.293,-0.2817,0.999937,0.649058,0.892645,"Q9WVL0","Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1                     "
"57","m.10878",258,0,0,1,0,0,1,-0.281,-0.285,0.999919,0.650969,0.891784,"Q15428","Splicing factor 3A subunit 2 OS=Homo sapiens GN=SF3A2 PE=1 SV=2                  "
"58","m.10883",471,8,7,5,6,6,9,0.371,0.5982,0.067304,0.013588,0.843346,"P34897","Serine hydroxymethyltransferase mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3                           "
"59","m.1089",117,6,7,6,11,10,10,0.749,1.5467,1e-06,0,0.754265,"P21571","ATP synthase-coupling factor 6 mitochondrial OS=Rattus norvegicus GN=Atp5j PE=1 SV=1                           "
"60","m.10893",298,7,5,4,8,7,7,0.753,1.3068,2.4e-05,4e-06,0.761817,"P84335","Tropomyosin alpha-1 chain OS=Liza aurata PE=1 SV=1                     "
"61","m.10901",228,1,1,1,0,0,0,-0.316,-0.3115,1,0.665543,0.884355,NA,NA
"62","m.10905",398,1,1,0,2,0,1,0.177,0.192,0.720333,0.194919,0.926446,"F6XBL2","26S proteasome non-ATPase regulatory subunit 11 OS=Xenopus tropicalis GN=psmd11 PE=3 SV=2                 "
"63","m.10909",251,1,2,2,1,1,1,-0.574,-0.5712,1,0.751119,0.733881,"O57460","Dorsal-ventral patterning tolloid-like protein 1 OS=Danio rerio GN=tll1 PE=2 SV=1                  "
"64","m.10914",217,4,3,3,3,2,3,-0.057,-0.085,1,0.49261,0.925889,"Q5R8Z8","Ras-related protein Rab-14 OS=Pongo abelii GN=RAB14 PE=2 SV=3                    "
