"","Protein","Len","S0","S0.1","S0.2","S1","S1.1","S1.2","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,6,6,2,6,6,2,0.968,1.3998,9e-06,1e-06,0.584133,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,47,57,33,62,60,34,0.631,3.3007,0,0,0.473241,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,20,12,10,8,11,4,-0.159,-0.3526,1,0.410234,0.731671,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10012",278,0,1,0,0,0,0,-0.05,-0.0497,0.999774,0.258598,0.871279,"O89026","Roundabout homolog 1 OS=Mus musculus GN=Robo1 PE=1 SV=1                    "
"5","m.10015",205,22,17,11,20,21,12,0.663,1.7782,0,0,0.536692,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"6","m.10041",171,0,1,0,0,0,0,-0.126,-0.1122,1,0.296997,0.855285,"Q2TL32","E3 ubiquitin-protein ligase UBR4 OS=Rattus norvegicus GN=Ubr4 PE=1 SV=2                   "
"7","m.1005",498,11,18,16,14,17,11,-0.077,-0.2128,1,0.352066,0.818215,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"8","m.10054",107,3,0,0,0,0,0,-0.268,-0.2367,1,0.3636,0.806762,"Q8IUX7","Adipocyte enhancer-binding protein 1 OS=Homo sapiens GN=AEBP1 PE=1 SV=1                   "
"9","m.1007",159,0,0,1,0,0,0,-0.042,-0.041,0.999389,0.253089,0.873167,"P20965","Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3                    "
"10","m.10080",526,23,36,21,29,31,14,0.361,1.2253,0.000112,7e-06,0.614912,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
"11","m.10101",187,0,2,1,0,0,2,-0.16,-0.1528,1,0.320397,0.842253,"Q8LGG8","Universal stress protein A-like protein OS=Arabidopsis thaliana GN=At3g01520 PE=1 SV=2                  "
"12","m.10111",222,9,9,1,6,9,2,1.375,1.8357,0,0,0.531242,"3660641","Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     "
"13","m.10119",416,0,0,0,0,1,1,-0.149,-0.1414,0.999993,0.313973,0.84615,"Q5R478","AP-3 complex subunit mu-1 OS=Pongo abelii GN=AP3M1 PE=2 SV=1                   "
"14","m.1013",969,0,1,0,0,1,1,-0.192,-0.1775,1,0.333884,0.833111,"A7RU46","Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1                   "
"15","m.10132",182,0,2,2,0,0,2,-0.612,-0.6219,0.867931,0.465047,0.409454,"Q6NZW8","ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1                   "
"16","m.10135",467,19,28,12,25,25,4,0.808,2.157,0,0,0.507367,"Q9YI37","Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1                           "
"17","m.10138",474,6,7,1,3,8,3,1.018,0.9695,0.002861,0.000199,0.674921,"O77775","Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   "
"18","m.10139",271,0,0,0,3,1,0,0.685,0.8139,0.01545,0.001107,0.721018,"Q8R1W8","Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1                   "
"19","m.10164",157,3,0,0,3,3,0,0.755,0.8404,0.011769,0.00084,0.712705,NA,NA
"20","m.10182",249,0,3,0,2,3,0,0.455,0.4923,0.228489,0.01884,0.829528,"O75937","DnaJ homolog subfamily C member 8 OS=Homo sapiens GN=DNAJC8 PE=1 SV=2                 "
"21","m.10194",572,30,51,29,56,47,30,0.68,3.2291,0,0,0.47432,"P15178","Aspartate--tRNA ligase cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1                           "
"22","m.10196",145,2,0,2,1,1,0,-0.663,-0.6956,0.750071,0.470066,0.3096,"P04041","Glutathione peroxidase 1 OS=Rattus norvegicus GN=Gpx1 PE=1 SV=4                    "
"23","m.10199",219,17,16,11,14,15,14,0.28,0.7503,0.02887,0.002092,0.741616,"Q05975","Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1                    "
"24","m.10205",893,0,0,0,0,2,0,-0.028,-0.027,0.998442,0.24417,0.876041,"O88664","Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1                    "
"25","m.10239",279,0,2,1,1,3,0,0.087,0.085,0.962351,0.172892,0.891856,"P31483","Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3                   "
"26","m.10260",232,2,5,4,4,4,2,0.036,0.0568,0.978097,0.190514,0.889102,"3665646","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1                    "
"27","m.10264",203,0,0,0,1,0,0,-0.167,-0.1561,1,0.322233,0.841088,"Q2QXC6","Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1                 "
"28","m.10289",705,3,1,2,0,4,1,-0.416,-0.4123,1,0.428356,0.677445,"P41541","General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1                  "
"29","m.10304",278,0,0,0,0,0,1,-0.402,-0.3668,1,0.414893,0.719839,"Q96RW7","Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2                      "
"30","m.10324",680,0,1,4,5,5,1,0.272,0.4463,0.303568,0.026127,0.844244,"Q04446","14-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3                           "
"31","m.10327",1122,14,13,9,15,11,7,0.575,1.2933,4.3e-05,3e-06,0.602073,"Q1LZA7","LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1                   "
"32","m.10342",512,0,0,0,0,0,1,-0.196,-0.178,1,0.334151,0.832916,"P08183","Multidrug resistance protein 1 OS=Homo sapiens GN=ABCB1 PE=1 SV=3                   "
"33","m.10346",250,2,0,0,1,2,4,0.201,0.2009,0.824078,0.107549,0.893415,"Q9NR16","Scavenger receptor cysteine-rich type 1 protein M160 OS=Homo sapiens GN=CD163L1 PE=1 SV=2                "
"34","m.10353",112,0,1,1,0,0,0,-0.313,-0.2963,1,0.389516,0.772596,NA,NA
"35","m.1036",1192,0,0,0,1,3,1,-0.066,-0.0671,1,0.269518,0.867265,"O57683","Splicing factor 3B subunit 1 OS=Xenopus laevis GN=sf3b1 PE=2 SV=1                  "
"36","m.10378",725,11,9,4,7,5,5,0.574,1.0444,0.001179,8e-05,0.655288,"Q03516","Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1               "
"37","m.1038",113,18,20,11,17,18,10,0.463,1.2276,0.000109,7e-06,0.614458,"P51397","Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3                    "
"38","m.10387",484,9,6,8,10,12,11,0.262,0.563,0.140298,0.01097,0.805621,"Q8IV20","Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1                   "
"39","m.104",1674,47,104,44,96,94,64,0.751,4.2234,0,0,0.46523,"Q68FD5","Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3                   "
"40","m.1041",396,3,3,1,3,3,4,0.998,1.055,0.001036,7e-05,0.652651,"Q0VFL3","KH domain-containing RNA-binding signal transduction-associated protein 2 OS=Xenopus tropicalis GN=khdrbs2 PE=2 SV=1                           "
"41","m.1042",331,2,5,2,7,6,4,1.123,1.7052,0,0,0.544207,"Q9PTS2","Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1                     "
