"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,0,0,0,1,-2.88,-0.2499,0.999909,0.773315,0.793363,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,29,30,22,30,-2.374,-0.3308,0.998231,0.786649,0.777755,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,3,3,2,6,4.686,0.401,0.942457,0.581702,0.86248,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10015",205,5,6,4,8,-1.89,-0.0933,1,0.74189,0.818226,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"5","m.1002",498,0,1,0,1,-9.036,-0.6287,0.965243,0.820673,0.702744,"3270652","Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1                     "
"6","m.10038",212,3,4,0,1,-7.826,-0.5762,0.973707,0.816271,0.717989,"P86854","Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1                      "
"7","m.1005",498,12,13,7,11,-26.478,-3.5606,0.005305,0.785328,0.001123,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"8","m.10055",770,0,1,0,0,-15.931,-1.0032,0.848968,0.835601,0.571877,"Q91437","CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1                     "
"9","m.10061",510,4,2,0,3,-10.032,-0.7606,0.937304,0.829104,0.660654,"Q64459","Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1                    "
"10","m.1007",159,2,1,1,2,5.553,0.6926,0.739777,0.465532,0.86077,"P20965","Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3                    "
"11","m.10080",526,17,14,11,15,8.377,0.8579,0.631931,0.404395,0.851864,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
"12","m.10093",673,1,1,0,2,-11.825,-0.9862,0.856638,0.835497,0.578428,"B0FYY4","Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1                     "
"13","m.10110",697,0,1,0,1,3.724,0.3961,0.945181,0.583675,0.862303,"O11780","Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1                  "
"14","m.10111",222,0,2,0,1,5.936,0.6255,0.788029,0.491529,0.863098,"3660641","Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     "
"15","m.1013",969,1,3,0,1,-8.217,-0.6186,0.966962,0.819874,0.705745,"A7RU46","Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1                   "
"16","m.10132",182,1,2,0,1,3.888,0.3551,0.965989,0.600077,0.860546,"Q6NZW8","ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1                   "
"17","m.10135",467,4,4,2,6,-1.489,-0.2164,1,0.76724,0.799249,"Q9YI37","Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1                           "
"18","m.10138",474,2,1,3,2,-2.881,-0.2034,1,0.764792,0.801445,"O77775","Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   "
"19","m.10139",271,0,1,0,0,-3.086,-0.1882,0.999996,0.761864,0.803953,"Q8R1W8","Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1                   "
"20","m.10146",361,2,1,1,0,-9.38,-0.7143,0.948464,0.826558,0.676027,"O43639","Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2                    "
"21","m.10164",157,0,0,0,1,-9.857,-0.5107,0.982802,0.809875,0.735783,NA,NA
"22","m.10183",616,1,0,0,0,-12.605,-1.2375,0.734779,0.832785,0.479324,"P60670","Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3                 "
"23","m.10194",572,19,16,16,17,-4.363,-0.4932,0.984963,0.807988,0.740309,"P15178","Aspartate--tRNA ligase cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1                           "
"24","m.10199",219,7,9,6,5,4.589,0.5105,0.871755,0.537389,0.864569,"Q05975","Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1                    "
"25","m.1020",1917,0,0,0,1,-8.882,-0.5553,0.976777,0.814342,0.723814,"Q6ZQ08","CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2                  "
"26","m.10205",893,0,1,0,0,15.655,1.1267,0.502089,0.311673,0.83401,"O88664","Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1                    "
