,Protein,Len,S0,S0.1,S1,S1.1,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,UniprotID,DEFLINE
1028,m.22427,401,0,1,1,0,77.013,4.02,1.00E-06,0,0.480701,Q90744,Alpha-N-acetylgalactosaminidase OS=Gallus gallus GN=NAGA PE=1 SV=1                      
1828,m.4511,317,0,0,1,2,74.229,1.9314,0.009989,0.002479,0.525875,O16025,Allene oxide synthase-lipoxygenase protein OS=Plexaura homomalla PE=1 SV=1                    
1905,m.5041,486,0,1,1,1,72.713,2.055,0.006771,0.001625,0.5193,Q99MK9,Ras association domain-containing protein 1 OS=Mus musculus GN=Rassf1 PE=2 SV=1                  
1236,m.25471,214,0,0,1,0,72.288,2.6384,0.000786,0.000166,0.498555,Q8N6F8,Williams-Beuren syndrome chromosomal region 27 protein OS=Homo sapiens GN=WBSCR27 PE=2 SV=2                 
60,m.10575,652,1,2,2,1,70.735,2.8616,0.000301,6.10E-05,0.493721,Q8K5C0,Grainyhead-like protein 2 homolog OS=Mus musculus GN=Grhl2 PE=2 SV=1                   
1539,m.32183,330,1,2,1,1,68.362,2.6011,0.000912,0.000195,0.499501,Q969V4,Tektin-1 OS=Homo sapiens GN=TEKT1 PE=2 SV=1                      
685,m.17619,306,1,2,2,0,64.533,2.4226,0.001837,0.000407,0.50468,A8TX70,Collagen alpha-5(VI) chain OS=Homo sapiens GN=COL6A5 PE=1 SV=1                    
45,m.1042,331,3,4,4,2,63.884,2.1065,0.005736,0.001354,0.516845,Q9PTS2,Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1                     
1370,m.28144,117,0,1,1,1,63.636,3.0524,0.000114,2.50E-05,0.490303,Q55G75,PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1                   
1850,m.4719,628,0,1,1,1,62.213,1.6734,0.022265,0.00563,0.54275,Q7Z6Z7,E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1 PE=1 SV=3                   
1152,m.24092,176,3,3,4,3,61.421,3.2343,4.40E-05,1.00E-05,0.487445,Q1JQA5,Neudesin OS=Bos taurus GN=NENF PE=2 SV=1                      
2132,m.6186,860,0,0,5,1,60.01,3.2248,4.70E-05,1.10E-05,0.487583,Q3SYW2,Complement C2 OS=Bos taurus GN=C2 PE=2 SV=1                     
