"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","Annotation","KOid","UniprotID"
"1","Pocillopora_acuta_HIv1_PredGene_10142_t",137,0,0,0,3,1.483,0.2483,0.788545,0.44832,0.833851,"cysteine and glycine-rich protein 1a ","K09377","Q6NZV4"
"2","Pocillopora_acuta_HIv1_PredGene_10367_t",210,2,1,1,1,-2.904,-0.8891,1,0.743913,0.725762,"nascent polypeptide-associated complex subunit alpha isoform 2 ","K03626","Q8JIU7"
"3","Pocillopora_acuta_HIv1_PredGene_10384_t",182,36,24,34,30,-2.594,-0.6056,0.99989,0.696525,0.778876,"ADP-ribosylation factor 1-like 2 ","K07937","Q10943"
"4","Pocillopora_acuta_HIv1_PredGene_10385_t",182,37,25,35,33,-6.355,-1.816,0.840263,0.805861,0.391496,"ADP ribosylation factor at 79F, isoform F ","K07937","P61209"
"5","Pocillopora_acuta_HIv1_PredGene_10404_t",352,1,0,0,0,-5.353,-0.4652,0.995177,0.665916,0.798166,"tartronate semialdehyde reductase ","","Q7AAL2"
"6","Pocillopora_acuta_HIv1_PredGene_10534_t",152,1,0,0,2,-15.447,-1.2035,1,0.778586,0.638741,"60S ribosomal protein L35 ","K02918","Q6ZWV7"
"7","Pocillopora_acuta_HIv1_PredGene_10692_t",677,5,3,2,1,3.496,0.5259,0.62955,0.355641,0.82394,"acetyl-coenzyme A synthetase 2-like, mitochondrial ","K01895","F1QYS7"
"8","Pocillopora_acuta_HIv1_PredGene_10742_t",124,11,10,9,15,-0.601,-0.0763,0.922807,0.557221,0.829696,"cofilin-like protein ","K05765","E9BKJ8"
"9","Pocillopora_acuta_HIv1_PredGene_10809_t",241,7,3,0,0,-0.678,-0.0843,0.925123,0.559757,0.829355,"splicing factor 1 isoform X10 ","K00405","D3YZD0"
"10","Pocillopora_acuta_HIv1_PredGene_10879_t",281,0,0,0,0,-5.098,-0.6929,1,0.713061,0.764683,"uncharacterized protein LOC100778421 ","K13511","I1J4C8"
"11","Pocillopora_acuta_HIv1_PredGene_109_t",518,0,0,0,1,-1.907,-0.2625,0.967969,0.613244,0.818527,"paxillin, isoform H ","K05760","D3DMM0"
"12","Pocillopora_acuta_HIv1_PredGene_10950_t",497,0,0,2,0,-8.54,-1.143,1,0.773098,0.658121,"alanine aminotransferase 2-like isoform X1 ","K00814","Q6NYL5"
"13","Pocillopora_acuta_HIv1_PredGene_11066_t",517,1,0,0,0,3.615,0.5389,0.622443,0.351478,0.823256,"uncharacterized protein LOC767682 ","K01255","Q08CQ0"
"14","Pocillopora_acuta_HIv1_PredGene_11087_t",577,4,4,5,5,-0.268,-0.0602,0.918031,0.552086,0.830346,"alpha-adducin isoform X8 ","K18622","A1A5X4"
