"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","Annotation","KOid","UniprotID"
"1","Pocillopora_acuta_HIv1_PredGene_10367_t",210,2,1,4,1,12.059,2.1416,0.167895,0.072297,0.823601,"nascent polypeptide-associated complex subunit alpha isoform 2 ","K03626","Q8JIU7"
"2","Pocillopora_acuta_HIv1_PredGene_10384_t",182,36,24,27,25,2.674,0.8992,0.584867,0.378671,0.860262,"ADP-ribosylation factor 1-like 2 ","K07937","Q10943"
"3","Pocillopora_acuta_HIv1_PredGene_10385_t",182,37,25,25,27,-5.477,-1.5553,1,0.860736,0.639179,"ADP ribosylation factor at 79F, isoform F ","K07937","P61209"
"4","Pocillopora_acuta_HIv1_PredGene_10404_t",352,1,0,0,0,-1.278,-0.286,0.963284,0.726097,0.867899,"tartronate semialdehyde reductase ","","Q7AAL2"
"5","Pocillopora_acuta_HIv1_PredGene_10534_t",152,1,0,1,0,-16.145,-2.3585,0.607665,0.864798,0.297871,"60S ribosomal protein L35 ","K02918","Q6ZWV7"
"6","Pocillopora_acuta_HIv1_PredGene_10692_t",677,5,3,4,4,-0.987,-0.1533,0.936557,0.697081,0.873361,"acetyl-coenzyme A synthetase 2-like, mitochondrial ","K01895","F1QYS7"
"7","Pocillopora_acuta_HIv1_PredGene_10742_t",124,11,10,8,8,-15.665,-2.289,0.656384,0.866776,0.324028,"cofilin-like protein ","K05765","E9BKJ8"
"8","Pocillopora_acuta_HIv1_PredGene_10809_t",241,7,3,9,0,-0.272,-0.0321,0.910292,0.668337,0.876086,"splicing factor 1 isoform X10 ","K00405","D3YZD0"
"9","Pocillopora_acuta_HIv1_PredGene_10879_t",281,0,0,0,0,4.216,0.7432,0.65316,0.426783,0.866973,"uncharacterized protein LOC100778421 ","K13511","I1J4C8"
"10","Pocillopora_acuta_HIv1_PredGene_11066_t",517,1,0,1,0,-0.725,-0.0942,0.923482,0.683339,0.874931,"uncharacterized protein LOC767682 ","K01255","Q08CQ0"
"11","Pocillopora_acuta_HIv1_PredGene_11087_t",577,4,4,4,2,-13.358,-1.6444,0.999998,0.863971,0.60424,"alpha-adducin isoform X8 ","K18622","A1A5X4"
"12","Pocillopora_acuta_HIv1_PredGene_11098_t",568,1,1,0,2,-14.729,-1.2766,0.990026,0.847209,0.728681,"shootin-1 isoform 1 ","","Q8C4F6"
"13","Pocillopora_acuta_HIv1_PredGene_11107_t",360,1,0,1,2,-14.871,-2.3544,0.610378,0.864922,0.299381,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial precursor ","K18123","Q6NY77"
"14","Pocillopora_acuta_HIv1_PredGene_1120_t",246,2,1,6,0,3.641,0.6679,0.694531,0.450844,0.869889,"splicing factor 1 isoform X10 ","K02823","D3YZD0"
"15","Pocillopora_acuta_HIv1_PredGene_1126_t",379,1,0,3,2,-2.584,-0.3493,0.973553,0.738983,0.864279,"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial ","K00658","Q8CIE8"
"16","Pocillopora_acuta_HIv1_PredGene_11648_t",803,1,1,2,0,-4.645,-0.663,1,0.792628,0.835923,"striatin-3 isoform 1 ","K17608","Q3TNV4"
"17","Pocillopora_acuta_HIv1_PredGene_11681_t",589,3,1,2,3,4.29,0.8943,0.58665,0.380167,0.860476,"RNA-binding motif, single-stranded-interacting protein 3 ","K24990","Q08C34"
"18","Pocillopora_acuta_HIv1_PredGene_11803_t",639,0,0,0,1,-9.799,-0.9854,0.975525,0.828142,0.78963,"hypothetical protein DDB_G0283095 ","","Q54RK9"
"19","Pocillopora_acuta_HIv1_PredGene_12017_t",122,2,3,5,3,-1.111,-0.1682,0.939813,0.700467,0.872886,"elongin-B ","K03873","F1QF30"
"20","Pocillopora_acuta_HIv1_PredGene_12069_t",543,3,4,3,5,-16.175,-2.1507,0.766392,0.869669,0.37995,"WP_010889536.1 malate synthase A ","K01638","Q9RYN3"
"21","Pocillopora_acuta_HIv1_PredGene_12073_t",597,9,3,6,9,-10.149,-1.1566,0.975637,0.8401,0.757262,"apoptosis-inducing factor 3 isoform X2 ","K22747","F2Z4R3"
"22","Pocillopora_acuta_HIv1_PredGene_12117_t",212,3,1,3,2,-2.815,-0.2946,0.964779,0.727886,0.867446,"60S ribosomal protein L13 ","K02873","Q90Z10"
"23","Pocillopora_acuta_HIv1_PredGene_12155_t",556,27,37,27,20,-1.241,-0.3855,0.978674,0.746054,0.861903,"glucose-6-phosphate isomerase ","K01810","Q8C675"
"24","Pocillopora_acuta_HIv1_PredGene_12270_t",559,9,9,21,16,2.058,0.5963,0.736255,0.474443,0.872264,"asparagine synthetase ","K01953","Q8BPC8"
"25","Pocillopora_acuta_HIv1_PredGene_12357_t",437,0,0,0,0,-5.688,-0.5912,0.998158,0.781913,0.843986,"deoxyribonuclease gamma isoform 1 precursor ","K11995","B7Z707"
"26","Pocillopora_acuta_HIv1_PredGene_12368_t",112,4,2,3,10,-12.581,-1.5372,1,0.860019,0.645904,"anoctamin-4 isoform X1 ","K19499","Q8CA37"
"27","Pocillopora_acuta_HIv1_PredGene_12927_t",2780,611,756,744,537,-3.644,-19.0198,0,0.81377,0,"COP1-interactive protein 1 ","K20478","Q38843"
"28","Pocillopora_acuta_HIv1_PredGene_130_t",685,0,0,1,0,-6.037,-0.9529,0.978215,0.825458,0.795012,"coiled-coil domain-containing protein 62 isoform X6 ","","E9PVD1"
"29","Pocillopora_acuta_HIv1_PredGene_13050_t",160,3,3,3,1,-17.382,-1.9489,0.911074,0.870445,0.46945,"no_annotation","K21995","-"
"30","Pocillopora_acuta_HIv1_PredGene_13208_t",521,0,0,1,1,-4.955,-0.8425,0.989701,0.814941,0.812046,"uncharacterized protein LOC641500 ","","B8JL34"
"31","Pocillopora_acuta_HIv1_PredGene_13279_t",220,0,0,0,0,1.987,0.4146,0.827195,0.536291,0.876116,"transmembrane emp24 domain-containing protein 4 precursor ","K20346","Q6IQH9"
"32","Pocillopora_acuta_HIv1_PredGene_13313_t",613,5,3,3,8,-6.315,-0.9717,0.976595,0.827031,0.791921,"carnitine O-acetyltransferase ","K00624","Q642H6"
"33","Pocillopora_acuta_HIv1_PredGene_1356_t",196,0,0,0,0,-4.882,-0.8004,0.993758,0.8103,0.818081,"ADP-ribosylation factor-like protein 6 isoform X1 ","K07951","Q5M9P8"
