"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","Annotation","KOid","UniprotID"
"1","Pocillopora_acuta_HIv1_PredGene_10142_t",137,0,0,0,4,2.975,0.5189,0.575815,0.283255,0.764227,"cysteine and glycine-rich protein 1a ","K09377","Q6NZV4"
"2","Pocillopora_acuta_HIv1_PredGene_10367_t",210,3,2,1,2,-1.014,-0.2049,0.944023,0.546408,0.753992,"nascent polypeptide-associated complex subunit alpha isoform 2 ","K03626","Q8JIU7"
"3","Pocillopora_acuta_HIv1_PredGene_10384_t",182,37,25,35,31,-0.462,-0.1373,0.918313,0.523509,0.759962,"ADP-ribosylation factor 1-like 2 ","K07937","Q10943"
"4","Pocillopora_acuta_HIv1_PredGene_10385_t",182,38,26,36,34,-4.083,-1.2556,0.965188,0.753985,0.474613,"ADP ribosylation factor at 79F, isoform F ","K07937","P61209"
"5","Pocillopora_acuta_HIv1_PredGene_10404_t",352,1,0,0,0,-4.604,-0.3896,0.990748,0.604378,0.730392,"tartronate semialdehyde reductase ","","Q7AAL2"
"6","Pocillopora_acuta_HIv1_PredGene_10534_t",152,1,1,1,2,-18.846,-1.6758,0.686989,0.764778,0.295901,"60S ribosomal protein L35 ","K02918","Q6ZWV7"
"7","Pocillopora_acuta_HIv1_PredGene_10692_t",677,5,3,3,2,-0.473,-0.0534,0.884631,0.494148,0.765509,"acetyl-coenzyme A synthetase 2-like, mitochondrial ","K01895","F1QYS7"
"8","Pocillopora_acuta_HIv1_PredGene_10742_t",124,11,10,9,16,-5.543,-1.3733,0.90986,0.761023,0.423454,"cofilin-like protein ","K05765","E9BKJ8"
"9","Pocillopora_acuta_HIv1_PredGene_10809_t",241,7,3,0,0,0.513,0.0603,0.839413,0.452891,0.770187,"splicing factor 1 isoform X10 ","K00405","D3YZD0"
"10","Pocillopora_acuta_HIv1_PredGene_10879_t",281,1,0,0,0,-9.913,-1.2095,0.980708,0.750352,0.494257,"uncharacterized protein LOC100778421 ","K13511","I1J4C8"
"11","Pocillopora_acuta_HIv1_PredGene_109_t",518,0,0,0,1,0.188,0.0328,0.850337,0.463013,0.769323,"paxillin, isoform H ","K05760","D3DMM0"
"12","Pocillopora_acuta_HIv1_PredGene_10950_t",497,0,0,2,0,-6.474,-0.8883,1,0.712752,0.614462,"alanine aminotransferase 2-like isoform X1 ","K00814","Q6NYL5"
