ID,PROTLEN,DEFLINE,PD30.100b,PD12.C,PD30.1m,PD30.100m,PD12.10m,PD30.C,PD30-C2,PD12.1m,PD30.100m2,PD12.100m,PD30.10m,PD30.10m2,PD30.1m2,UniprotID
Pocillopora_acuta_HIv1_PredGene_10142_t,137,Pocillopora_acuta_HIv1_PredGene_10142_t,0,0,0,0,0.5,0,0,0,3.5,0,0.5,0,0,Q6NZV4
Pocillopora_acuta_HIv1_PredGene_10367_t,210,Pocillopora_acuta_HIv1_PredGene_10367_t,1.5,6.5,4,1,3,2.5,1.5,1,1.5,1.5,1,1,1,Q8JIU7
Pocillopora_acuta_HIv1_PredGene_10384_t,182,Pocillopora_acuta_HIv1_PredGene_10384_t,24.5,54,27.5,34.5,38,36.5,24.5,21,30.5,24.5,38.5,36,25,Q10943
Pocillopora_acuta_HIv1_PredGene_10385_t,182,Pocillopora_acuta_HIv1_PredGene_10385_t,25,49.5,25,35.5,35.5,37.5,25.5,18.5,33.5,25.5,39,37,27,P61209
Pocillopora_acuta_HIv1_PredGene_10404_t,352,Pocillopora_acuta_HIv1_PredGene_10404_t,0,0,0,0,0,1,0,0,0,1,0.5,0.5,0,Q7AAL2
Pocillopora_acuta_HIv1_PredGene_10534_t,152,Pocillopora_acuta_HIv1_PredGene_10534_t,0.5,2.5,1,0.5,1,1,0.5,1.5,2,0,0,1.5,0,Q6ZWV7
Pocillopora_acuta_HIv1_PredGene_10692_t,677,Pocillopora_acuta_HIv1_PredGene_10692_t,3,1,4.5,2.5,3.5,5,3,1,1.5,3,12.5,2,4,F1QYS7
Pocillopora_acuta_HIv1_PredGene_10742_t,124,Pocillopora_acuta_HIv1_PredGene_10742_t,4,14,8.5,9,11,11,10,9,15.5,3.5,18.5,13,8,E9BKJ8
Pocillopora_acuta_HIv1_PredGene_10809_t,241,Pocillopora_acuta_HIv1_PredGene_10809_t,0,3.5,9,0,0,7,3,12.5,0,11,23,0,0,D3YZD0
Pocillopora_acuta_HIv1_PredGene_10879_t,281,Pocillopora_acuta_HIv1_PredGene_10879_t,0.5,1,0.5,0,0,0.5,0,0,0,0,0,0,0,I1J4C8
Pocillopora_acuta_HIv1_PredGene_109_t,518,Pocillopora_acuta_HIv1_PredGene_109_t,0,1,0,0,0,0,0,0,1,0,0,0,0,D3DMM0
Pocillopora_acuta_HIv1_PredGene_10950_t,497,Pocillopora_acuta_HIv1_PredGene_10950_t,0,0.5,0,2,2.5,0,0,0.5,0,0.5,0,0,0,Q6NYL5
Pocillopora_acuta_HIv1_PredGene_11066_t,517,Pocillopora_acuta_HIv1_PredGene_11066_t,0,1.5,1,0,0,1.5,0,0.5,0.5,0,4.5,0,0,Q08CQ0
Pocillopora_acuta_HIv1_PredGene_11087_t,577,Pocillopora_acuta_HIv1_PredGene_11087_t,3.5,4,4,5.5,3,4.5,4.5,2,5.5,5.5,8.5,4.5,2,A1A5X4
Pocillopora_acuta_HIv1_PredGene_11098_t,568,Pocillopora_acuta_HIv1_PredGene_11098_t,1,2,0.5,3,1.5,1,1,0.5,3,2,1.5,2,2,Q8C4F6
Pocillopora_acuta_HIv1_PredGene_11107_t,360,Pocillopora_acuta_HIv1_PredGene_11107_t,1.5,0.5,1,1.5,1,1.5,0.5,1,0.5,0,2.5,1,2,Q6NY77
