"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","Annotation","KOid","UniprotID"
"1","Pocillopora_acuta_HIv1_PredGene_10367_t",210,2,1,1,1,-4.833,-0.3427,1,0.859001,0.797299,"nascent polypeptide-associated complex subunit alpha isoform 2 ","K03626","Q8JIU7"
"2","Pocillopora_acuta_HIv1_PredGene_10384_t",182,36,24,38,36,-0.163,-0.049,1,0.818606,0.831931,"ADP-ribosylation factor 1-like 2 ","K07937","Q10943"
"3","Pocillopora_acuta_HIv1_PredGene_10385_t",182,37,25,39,37,-3.623,-1.4562,0.801544,0.889297,0.518595,"ADP ribosylation factor at 79F, isoform F ","K07937","P61209"
"4","Pocillopora_acuta_HIv1_PredGene_10404_t",352,1,0,0,0,-4.325,-0.4079,0.999503,0.86575,0.787406,"tartronate semialdehyde reductase ","","Q7AAL2"
"5","Pocillopora_acuta_HIv1_PredGene_10534_t",152,1,0,0,1,3.627,0.3373,0.961329,0.732048,0.858628,"60S ribosomal protein L35 ","K02918","Q6ZWV7"
"6","Pocillopora_acuta_HIv1_PredGene_10692_t",677,5,3,12,2,-10.135,-1.8782,0.648086,0.876523,0.362072,"acetyl-coenzyme A synthetase 2-like, mitochondrial ","K01895","F1QYS7"
"7","Pocillopora_acuta_HIv1_PredGene_10742_t",124,11,10,18,13,-2.65,-0.7601,0.94774,0.889001,0.720139,"cofilin-like protein ","K05765","E9BKJ8"
"8","Pocillopora_acuta_HIv1_PredGene_10809_t",241,7,3,23,0,11.783,1.1541,0.695407,0.515985,0.851634,"splicing factor 1 isoform X10 ","K00405","D3YZD0"
"9","Pocillopora_acuta_HIv1_PredGene_11066_t",517,1,0,4,0,-20.361,-1.8329,0.663028,0.878011,0.3794,"uncharacterized protein LOC767682 ","K01255","Q08CQ0"
"10","Pocillopora_acuta_HIv1_PredGene_11087_t",577,4,4,8,4,-18.571,-2.619,0.298961,0.854856,0.114962,"alpha-adducin isoform X8 ","K18622","A1A5X4"
"11","Pocillopora_acuta_HIv1_PredGene_11098_t",568,1,1,1,2,-11.426,-0.8047,0.937694,0.89029,0.710303,"shootin-1 isoform 1 ","","Q8C4F6"
"12","Pocillopora_acuta_HIv1_PredGene_11107_t",360,1,0,2,1,-3.995,-0.6064,0.980717,0.881775,0.751979,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial precursor ","K18123","Q6NY77"
