"","Protein","Len","S0","S0.1","S1","S1.1","S1.2","S1.3","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,0,0,0,0,0,0,-1.236,-0.2595,0.964443,0.647139,0.729039,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,28,29,20,23,27,13,-4.997,-3.9432,3.5e-05,0.724158,4e-06,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,3,3,3,4,2,0,-7.893,-1.5149,0.73053,0.878573,0.309182,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10015",205,5,5,5,6,6,3,-3.248,-0.6581,1,0.807331,0.666009,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"5","m.1002",498,0,1,0,0,0,0,-5.515,-1.625,0.635434,0.869259,0.256251,"3270652","Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1                     "
"6","m.10038",212,3,3,0,0,1,0,-3.879,-0.6683,1,0.809963,0.663614,"P86854","Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1                      "
"7","m.1005",498,11,12,8,10,15,4,-1.691,-0.8006,1,0.839189,0.628151,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"8","m.10055",770,0,1,0,0,0,0,-10.276,-2.4855,0.090783,0.773422,0.023997,"Q91437","CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1                     "
"9","m.10061",510,3,2,1,6,4,2,-8.558,-1.7272,0.545389,0.858415,0.210784,"Q64459","Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1                    "
"10","m.1007",159,1,0,0,0,1,0,-8.312,-1.2458,0.917138,0.885885,0.445272,"P20965","Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3                    "
"11","m.10080",526,17,14,14,15,16,16,-4.15,-2.3037,0.155982,0.78988,0.046006,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
