"","Protein","Len","S0","S0.1","S1","S1.1","S1.2","S1.3","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,0,0,0,1,0,0,-11.97,-2.2242,0.690474,0.930213,0.377256,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,28,29,25,25,27,13,-4.085,-3.3665,0.095895,0.865896,0.02263,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,3,3,3,2,2,0,-5.618,-1.5344,0.992016,0.942438,0.682625,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10015",205,5,5,7,5,6,3,-2.773,-0.9161,0.993006,0.888236,0.811334,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"5","m.1002",498,0,1,1,1,0,0,-0.246,-0.0753,0.838132,0.565161,0.851499,"3270652","Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1                     "
"6","m.10038",212,3,3,1,2,1,0,-5.562,-1.2187,0.999585,0.923247,0.76572,"P86854","Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1                      "
"7","m.1005",498,11,12,16,10,15,4,-5.139,-2.295,0.648577,0.924766,0.344489,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"8","m.10055",770,0,1,1,0,0,0,-5.557,-1.4592,0.995509,0.939191,0.706343,"Q91437","CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1                     "
"9","m.10061",510,3,2,3,5,4,2,-6.661,-1.5292,0.992292,0.942237,0.684351,"Q64459","Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1                    "
"10","m.1007",159,1,0,1,1,1,0,-5.269,-0.9179,0.992962,0.888516,0.811134,"P20965","Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3                    "
"11","m.10080",526,17,14,14,15,16,16,-7.283,-2.0562,0.80474,0.94136,0.456654,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
"12","m.10093",673,1,1,1,1,0,0,-5.871,-1.278,1,0.928041,0.753238,"B0FYY4","Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1                     "
"13","m.10110",697,0,0,0,0,0,0,-9.928,-1.8534,0.928444,0.947868,0.553211,"O11780","Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1                  "
"14","m.10111",222,0,2,0,1,2,0,-3.871,-0.8143,0.998923,0.870044,0.821647,"3660641","Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     "
"15","m.1013",969,1,2,0,0,0,0,-9.457,-2.0392,0.816655,0.942245,0.464797,"A7RU46","Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1                   "
"16","m.10132",182,1,2,1,1,1,1,-8.086,-1.6238,0.985662,0.945396,0.650899,"Q6NZW8","ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1                   "
"17","m.10135",467,3,4,2,3,3,1,-1.035,-0.3085,0.938863,0.689224,0.849788,"Q9YI37","Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1                           "
"18","m.10138",474,1,1,1,1,3,0,-10.93,-2.3409,0.623931,0.921196,0.323446,"O77775","Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   "
"19","m.10139",271,0,1,0,0,0,0,-5.8,-0.8524,0.995983,0.877445,0.817993,"Q8R1W8","Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1                   "
"20","m.10146",361,1,0,1,2,1,0,-2.535,-0.4919,0.999999,0.773339,0.843662,"O43639","Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2                    "
"21","m.10164",157,0,0,0,0,0,0,-5.239,-0.9578,0.99243,0.894421,0.80654,NA,NA
"22","m.10183",616,0,0,0,0,1,0,-4.811,-1.7222,0.971312,0.947487,0.611585,"P60670","Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3                 "
"23","m.10194",572,19,15,19,20,18,9,-7.103,-3.4463,0.072722,0.863163,0.016681,"P15178","Aspartate--tRNA ligase cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1                           "
