"","Protein","Len","S0","S0.1","S1","S1.1","S1.2","S1.3","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,0,0,0,0,0,0,-9.81,-1.916,0.862628,0.968976,0.498451,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,28,29,21,29,33,30,-3.37,-2.7344,0.398024,0.942767,0.119959,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,3,3,1,5,3,3,-3.89,-0.5987,0.991367,0.969303,0.855368,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10015",205,5,5,4,7,6,7,-8.242,-1.6576,0.907013,0.976665,0.612462,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"5","m.1002",498,0,1,0,1,1,2,-7.564,-1.9536,0.85844,0.967948,0.479677,"3270652","Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1                     "
"6","m.10038",212,3,3,0,1,2,3,-7.57,-1.2348,0.987086,0.981746,0.75128,"P86854","Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1                      "
"7","m.1005",498,11,12,6,11,16,14,-7.774,-5.5907,1e-06,0.896637,0,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"8","m.10055",770,0,1,0,0,1,1,-4.625,-1.2382,0.98685,0.981758,0.750402,"Q91437","CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1                     "
"9","m.10061",510,3,2,0,2,4,5,-3.39,-0.833,0.999594,0.975807,0.829254,"Q64459","Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1                    "
"10","m.1007",159,1,0,0,1,2,1,-8.966,-2.6583,0.449208,0.945693,0.144052,"P20965","Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3                    "
"11","m.10080",526,17,14,11,14,14,15,-2.248,-1.0718,0.99531,0.980443,0.788735,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
"12","m.10093",673,1,1,0,1,3,1,-3.508,-0.803,0.998946,0.975029,0.83329,"B0FYY4","Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1                     "
"13","m.10110",697,0,0,0,1,0,0,-1.539,-0.3129,0.988983,0.958734,0.874642,"O11780","Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1                  "
"14","m.10111",222,0,2,0,1,1,1,-2.305,-0.4679,0.988465,0.965164,0.86548,"3660641","Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     "
"15","m.1013",969,1,2,0,0,0,1,-10.147,-1.6905,0.899179,0.97572,0.59932,"A7RU46","Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1                   "
"16","m.10132",182,1,2,0,1,2,1,-0.376,-0.0929,0.999999,0.941753,0.884225,"Q6NZW8","ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1                   "
"17","m.10135",467,3,4,1,5,4,4,-2.114,-0.9418,0.999472,0.978319,0.812706,"Q9YI37","Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1                           "
"18","m.10138",474,1,1,2,2,2,2,-3.654,-0.6465,0.993107,0.970691,0.850972,"O77775","Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   "
"19","m.10139",271,0,1,0,0,1,0,0.679,0.216,0.999997,0.890338,0.892615,"Q8R1W8","Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1                   "
"20","m.10146",361,1,0,0,0,2,1,0.699,0.1307,0.999998,0.908692,0.890814,"O43639","Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2                    "
"21","m.10164",157,0,0,0,1,0,1,-8.065,-1.2572,0.985432,0.981814,0.745419,NA,NA
"22","m.10183",616,0,0,0,0,0,0,2.708,0.3648,0.99998,0.847377,0.895041,"P60670","Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3                 "
"23","m.10194",572,19,15,15,17,21,25,-5.5,-3.9522,0.011323,0.909018,0.001674,"P15178","Aspartate--tRNA ligase cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1                           "
"24","m.10199",219,7,8,6,4,8,7,4.166,0.7776,0.867075,0.667852,0.897104,"Q05975","Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1                    "
"25","m.1020",1917,0,0,0,1,0,0,-3.418,-0.7074,0.995584,0.972417,0.844728,"Q6ZQ08","CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2                  "
"26","m.10205",893,0,0,0,0,0,1,-5.059,-1.2317,0.987298,0.981734,0.752077,"O88664","Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1                    "
"27","m.10239",279,1,2,0,0,2,1,-4.554,-1.1654,0.991127,0.981362,0.768318,"P31483","Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3                   "
"28","m.10254",141,1,2,0,0,1,0,-5.064,-1.458,0.95644,0.98089,0.685068,NA,NA
"29","m.10260",232,0,0,0,0,0,0,-3.799,-0.9932,0.998192,0.979282,0.803799,"3665646","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1                    "
"30","m.10264",203,0,0,0,0,1,0,-0.381,-0.0979,1,0.942303,0.884041,"Q2QXC6","Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1                 "
"31","m.1027",157,1,2,0,2,2,1,-1.827,-0.2834,0.989753,0.957172,0.876119,"3289105","Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1                     "
"32","m.10289",705,0,0,0,0,0,0,-9.296,-1.45,0.958144,0.98099,0.687728,"P41541","General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1                  "
"33","m.10304",278,4,3,1,4,4,3,-3.381,-0.6069,0.991645,0.969544,0.854643,"Q96RW7","Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2                      "
"34","m.10324",680,4,4,0,3,4,2,-9.894,-1.3861,0.970157,0.981584,0.708243,"Q04446","14-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3                           "
