"","Protein","Len","S0","S0.1","S1","S1.1","S1.2","S1.3","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,0,0,1,0,0,0,-5.205,-1.5147,0.999564,0.971526,0.845535,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,28,29,19,19,20,23,-2.934,-0.9791,1,0.930458,0.888889,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,3,3,2,4,3,4,-4.483,-1.2514,0.996304,0.958228,0.87287,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10015",205,5,5,3,4,5,6,-3.399,-0.8552,0.999998,0.908435,0.893578,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"5","m.1002",498,0,1,0,1,0,0,-7.683,-2.0767,0.950335,0.97903,0.713178,"3270652","Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1                     "
"6","m.10038",212,3,3,0,0,0,0,-5.83,-1.2968,0.99675,0.96109,0.869197,"P86854","Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1                      "
"7","m.1005",498,11,12,9,9,8,10,-5.208,-2.7116,0.793877,0.959702,0.398948,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"8","m.10055",770,0,1,0,0,0,0,-7.277,-2.5251,0.864376,0.965534,0.511415,"Q91437","CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1                     "
"9","m.10061",510,3,2,2,1,1,6,-5.523,-1.1954,0.996279,0.954224,0.87693,"Q64459","Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1                    "
"10","m.1007",159,1,0,0,0,0,0,-7.361,-1.9846,0.971353,0.980226,0.743125,"P20965","Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3                    "
"11","m.10080",526,17,14,15,15,14,15,-0.206,-0.0975,0.903879,0.458639,0.904022,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
"12","m.10093",673,1,1,1,1,0,1,-4.971,-1.6595,0.999909,0.976203,0.822677,"B0FYY4","Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1                     "
"13","m.10110",697,0,0,0,0,0,0,-6.449,-1.5833,0.999976,0.973934,0.835539,"O11780","Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1                  "
