"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,0,0,1,0,6.336,0.3914,0.890858,0.749721,0.91484,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,29,30,20,20,10.054,2.6715,0.27738,0.169804,0.875008,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,3,3,3,5,0.838,0.1929,0.953478,0.782513,0.914035,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10015",205,5,6,4,4,-3.725,-0.5171,1,0.872063,0.869659,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"5","m.1002",498,0,1,0,1,-0.735,-0.1275,0.998437,0.831779,0.901094,"3270652","Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1                     "
"6","m.10038",212,3,4,0,0,-13.597,-2.6075,0.50522,0.891641,0.276124,"P86854","Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1                      "
"7","m.1005",498,12,13,9,9,-6.214,-1.3113,0.887202,0.902397,0.738258,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"8","m.10055",770,0,1,0,0,6.804,1.0374,0.810444,0.630051,0.901264,"Q91437","CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1                     "
"9","m.10061",510,4,2,3,2,-0.625,-0.1295,0.998505,0.832044,0.900975,"Q64459","Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1                    "
"10","m.1007",159,2,1,0,0,-1.447,-0.2112,1,0.842327,0.895763,"P20965","Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3                    "
"11","m.10080",526,17,14,15,15,-8.195,-2.2024,0.722847,0.899536,0.424442,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
"12","m.10093",673,1,1,2,1,-2.947,-0.4256,1,0.864454,0.878701,"B0FYY4","Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1                     "
"13","m.10110",697,0,1,0,0,-16.759,-1.7231,0.919318,0.901178,0.62907,"O11780","Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1                  "
"14","m.10111",222,0,2,1,2,-0.418,-0.0489,0.994225,0.82086,0.905433,"3660641","Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     "
"15","m.1013",969,1,3,1,0,-4.201,-0.6804,1,0.883438,0.850254,"A7RU46","Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1                   "
"16","m.10132",182,1,2,2,2,0.464,0.0696,0.980178,0.80276,0.910622,"Q6NZW8","ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1                   "
"17","m.10135",467,4,4,2,2,0.177,0.0379,0.984997,0.807769,0.909405,"Q9YI37","Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1                           "
"18","m.10138",474,2,1,1,1,3.203,0.2635,0.933002,0.770696,0.914984,"O77775","Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   "
"19","m.10139",271,0,1,0,0,2.033,0.2552,0.935567,0.772083,0.914911,"Q8R1W8","Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1                   "
"20","m.10146",361,2,1,1,0,1.389,0.2088,0.949153,0.779852,0.914314,"O43639","Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2                    "
"21","m.10183",616,1,0,0,1,9.427,0.7148,0.822794,0.699189,0.907852,"P60670","Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3                 "
"22","m.10194",572,19,16,16,17,-8.167,-1.721,0.919042,0.901172,0.629856,"P15178","Aspartate--tRNA ligase cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1                           "
"23","m.10199",219,7,9,5,7,-3.702,-0.775,1,0.888923,0.836756,"Q05975","Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1                    "
"24","m.10205",893,0,1,0,0,5.426,0.8245,0.818935,0.679184,0.905281,"O88664","Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1                    "
"25","m.10239",279,1,2,0,0,-3.072,-0.3663,1,0.858977,0.883958,"P31483","Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3                   "
"26","m.10254",141,2,2,0,0,-11.724,-0.7935,1,0.889912,0.833898,NA,NA
"27","m.10260",232,0,1,0,0,-0.271,-0.0315,0.992805,0.818317,0.906301,"3665646","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1                    "
"28","m.10264",203,0,1,0,0,2.846,0.2299,0.943144,0.776318,0.914626,"Q2QXC6","Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1                 "
"29","m.1027",157,1,2,2,1,8.985,1.0731,0.806867,0.620426,0.900674,"3289105","Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1                     "
"30","m.10304",278,4,4,4,4,-0.693,-0.0847,0.996556,0.825951,0.90354,"Q96RW7","Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2                      "
"31","m.10324",680,4,4,3,1,-3.426,-0.4109,1,0.863138,0.880046,"Q04446","14-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3                           "
"32","m.10327",1122,2,2,1,1,-7.5,-0.9639,0.988335,0.897769,0.804018,"Q1LZA7","LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1                   "
