"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,0,0,1,0,-2.04,-0.2527,0.995731,0.937607,0.56603,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,29,30,34,31,1.094,0.355,0.999949,0.889281,0.696319,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,3,3,3,3,-7.462,-1.2225,0.549935,0.895845,0.232992,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10015",205,5,6,6,8,-1.319,-0.2548,0.995584,0.937694,0.565402,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"5","m.1002",498,0,1,1,2,-6.708,-0.9951,0.670008,0.91732,0.308591,"3270652","Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1                     "
"6","m.10038",212,3,4,2,4,13.754,1.8271,0.558024,0.317894,0.763237,"P86854","Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1                      "
"7","m.1005",498,12,13,17,15,7.513,1.6533,0.664029,0.395861,0.764954,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"8","m.10055",770,0,1,2,2,-0.789,-0.1021,0.999828,0.930161,0.60774,"Q91437","CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1                     "
"9","m.10061",510,4,2,5,6,-7.985,-1.7278,0.281072,0.846871,0.101617,"Q64459","Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1                    "
"10","m.1007",159,2,1,2,1,11.733,1.3713,0.909701,0.541476,0.764312,"P20965","Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3                    "
"11","m.10080",526,17,14,15,15,6.771,1.6527,0.664467,0.396142,0.764958,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
"12","m.10093",673,1,1,4,2,5.948,0.6925,0.990677,0.830302,0.732651,"B0FYY4","Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1                     "
"13","m.10110",697,0,1,0,0,-2.92,-0.3786,0.978744,0.941723,0.526376,"O11780","Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1                  "
"14","m.10111",222,0,2,2,2,-0.893,-0.1436,0.999558,0.932451,0.596909,"3660641","Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     "
"15","m.1013",969,1,3,1,1,-3.892,-0.5537,0.919075,0.942799,0.46597,"A7RU46","Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1                   "
"16","m.10132",182,1,2,2,2,0.324,0.0513,1,0.920018,0.643475,"Q6NZW8","ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1                   "
"17","m.10135",467,4,4,5,5,-4.281,-0.6979,0.842025,0.938568,0.414096,"Q9YI37","Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1                           "
"18","m.10138",474,2,1,3,3,-0.426,-0.0906,0.99986,0.929495,0.610652,"O77775","Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   "
"19","m.10139",271,0,1,1,1,-2.494,-0.5169,0.935264,0.94311,0.479014,"Q8R1W8","Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1                   "
"20","m.10146",361,2,1,2,1,1.743,0.3528,0.999975,0.88957,0.696012,"O43639","Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2                    "
"21","m.10164",157,0,0,0,1,-9.91,-1.2215,0.550475,0.895942,0.233308,NA,NA
"22","m.10183",616,1,0,0,1,-2.978,-0.3276,0.987853,0.940332,0.542913,"P60670","Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3                 "
"23","m.10194",572,19,16,21,25,0.6,0.2086,1,0.906226,0.673569,"P15178","Aspartate--tRNA ligase cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1                           "
"24","m.10199",219,7,9,9,8,-0.433,-0.1363,0.999629,0.932061,0.598851,"Q05975","Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1                    "
